Fuel,BHARAT STAGE I,BHARAT STAGE II,BHARAT STAGE III,BHARAT STAGE III/IV,BHARAT STAGE IV,BHARAT STAGE IV/VI,BHARAT STAGE VI,Bharat Trem Stage III,Bharat Trem Stage III A,Bharat Trem Stage III B,Bharat Stage III CEV,CEV STAGE IV,EURO 1,EURO 2,EURO 3,EURO 4,EURO 6,EURO 6A,EURO 6C,EURO 6D,Not Applicable,Not Available,TREM STAGE IV,TREM STAGE V,Total
CNG ONLY,4534,8429,8243,9,411,0,3,51,1450,1,0,0,230,1331,366,6,0,0,0,0,0,1844,0,0,26908
DIESEL,16503,480663,227277,985,25213,18,202,36045,40328,150,463,5,12503,69885,48723,6600,10,0,1,0,13,594631,33,1,1560252
DIESEL/HYBRID,1,2,11,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,43
DUAL DIESEL/CNG,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,3
ELECTRIC BOV,16,1595,97,0,10,0,0,0,14,0,0,0,44,304,67,1,0,0,0,0,0,5258,0,0,7406
ETHANOL,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
FUEL CELL HYDROGEN,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
LNG,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
LPG ONLY,88,7002,983,0,15,0,1,10,7,0,0,0,49,631,90,20,0,0,0,0,0,3806,0,0,12702
NOT APPLICABLE,2385,21589,945,37,223,0,4,32,94,0,9,0,417,446,329,19,0,0,0,0,12,41082,2,0,67625
PETROL,67604,3624375,406439,3394,88249,132,3222,22965,97321,42,151,2,32411,382354,92376,6268,49,2,0,1,7,3087104,17,1,7914486
PETROL/CNG,970,14800,40527,193,4997,23,67,968,1206,3,15,0,4866,12614,21372,2288,0,0,0,0,0,44166,6,0,149081
PETROL/ETHANOL,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
PETROL/HYBRID,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,11
PETROL/LPG,939,32438,17931,68,2579,20,86,809,1231,1,6,0,1895,4956,6993,587,1,1,0,1,0,38880,0,0,109422
SOLAR,1,10,0,0,3,0,0,0,0,0,0,0,2,5,7,0,0,0,0,0,0,31,0,0,59
Total,93041,4190905,702463,4686,121724,193,3590,60880,141651,197,644,7,52417,472527,170324,15789,60,3,1,2,32,3816814,58,2,9848010
