Fuel,BHARAT STAGE I,BHARAT STAGE II,BHARAT STAGE III,BHARAT STAGE III/IV,BHARAT STAGE IV,BHARAT STAGE IV/VI,BHARAT STAGE VI,Bharat Trem Stage III,Bharat Trem Stage III A,Bharat Trem Stage III B,Bharat Stage III CEV,CEV STAGE IV,EURO 1,EURO 2,EURO 3,EURO 4,EURO 6,EURO 6A,EURO 6D,Not Applicable,Not Available,TREM STAGE IV,TREM STAGE V,Total
CNG ONLY,17,674,10264,4,11628,0,10,9,36,0,1,0,77,2381,4448,475,0,0,0,0,2211,6,0,32241
DIESEL,27348,91385,725177,1409,316957,15,189,44455,37433,192,742,19,20485,126709,131895,106903,7,2,0,18,948350,122,2,2579814
DIESEL/HYBRID,0,3,18,0,6,0,3,0,1,0,1,0,0,0,0,0,0,0,0,0,8,0,0,40
DUAL DIESEL/CNG,0,0,5,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,11
ELECTRIC BOV,12,244,1037,0,462,0,0,0,5,0,0,0,16,380,867,52,0,0,0,1,3888,0,0,6964
ETHANOL,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
FUEL CELL HYDROGEN,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
LPG ONLY,130,465,4431,6,34,0,0,25,1,0,0,0,2,19,93,176,0,0,0,0,1592,0,0,6974
NOT APPLICABLE,822,3720,28022,68,629,0,6,28,28,0,2,0,579,373,775,52,1,0,0,3,61071,0,0,96179
PETROL,32786,936180,4648098,3157,351320,98,1371,3937,53315,52,42,5,121206,687411,805592,171336,6,1,2,1,5156484,122,2,12972524
PETROL/CNG,545,2524,16673,117,52051,6,43,58,267,0,13,0,2731,12384,31210,65424,0,0,0,0,55447,17,0,239510
PETROL/ETHANOL,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
PETROL/HYBRID,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
PETROL/LPG,898,2948,38306,34,20169,12,60,76,654,0,1,0,563,5461,7611,6797,0,0,0,0,32043,15,0,115648
SOLAR,0,6,24,0,0,0,0,0,0,0,0,0,3,1,32,5,0,0,0,0,207,0,0,278
Total,62558,1038150,5472058,4795,753261,131,1685,48588,91740,244,802,24,145662,835121,982523,351220,14,3,2,23,6261305,282,4,16050195
