Fuel,BHARAT STAGE I,BHARAT STAGE II,BHARAT STAGE III,BHARAT STAGE III/IV,BHARAT STAGE IV,BHARAT STAGE IV/VI,BHARAT STAGE VI,Bharat Trem Stage III,Bharat Trem Stage III A,Bharat Trem Stage III B,Bharat Stage III CEV,CEV STAGE IV,CEV STAGE V,EURO 1,EURO 2,EURO 3,EURO 4,EURO 6,EURO 6A,EURO 6C,Not Applicable,Not Available,TREM STAGE IV,TREM STAGE V,Total
CNG ONLY,44,191,5563,4,4011,0,3,20,125,0,0,0,0,43,1976,4171,3961,0,0,0,0,2224,7,0,22343
DIESEL,22819,41857,889561,1025,445058,13,171,3080,101889,301,710,13,1,20963,149861,189100,164817,3,1,1,15,970595,183,7,3002044
DIESEL/HYBRID,0,0,16,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,44
DUAL DIESEL/CNG,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,7
ELECTRIC BOV,11,95,538,0,264,0,0,1,1,0,0,0,0,9,133,155,21,0,0,0,2,1500,0,0,2730
ETHANOL,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3
LNG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
LPG ONLY,0,41,2046,8,40,0,0,7,0,0,0,0,0,2,6,19,48,0,0,0,0,742,0,0,2959
NOT APPLICABLE,280,2259,28454,4,649,0,0,9,84,1,2,0,0,159,299,1830,228,0,0,0,1,54289,0,0,88548
PETROL,34513,716049,5734835,1259,292569,13,553,2392,34334,61,20,1,0,209805,860968,840231,180503,5,0,0,1,5439394,101,2,14347609
PETROL/CNG,958,1487,29333,146,44353,3,35,70,99,0,14,0,0,982,6302,34412,41563,0,0,0,0,51001,10,0,210768
PETROL/ETHANOL,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
PETROL/HYBRID,0,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5
PETROL/LPG,483,488,31380,11,12840,2,6,50,156,1,0,0,0,183,2935,4237,7520,1,0,0,0,17483,5,0,77781
SOLAR,2,8,23,0,0,0,0,0,4,0,0,0,0,2,8,21,3,0,0,0,0,125,0,0,196
Total,59110,762475,6721757,2457,799807,31,769,5629,136692,364,746,14,1,232148,1022488,1074176,398664,9,1,1,19,6537366,306,9,17755039
