Fuel,BHARAT STAGE I,BHARAT STAGE II,BHARAT STAGE III,BHARAT STAGE III/IV,BHARAT STAGE IV,BHARAT STAGE IV/VI,BHARAT STAGE VI,Bharat Trem Stage III,Bharat Trem Stage III A,Bharat Trem Stage III B,Bharat Stage III CEV,CEV STAGE IV,EURO 1,EURO 2,EURO 3,EURO 4,EURO 6,Not Applicable,Not Available,TREM STAGE IV,TREM STAGE V,Total
CNG ONLY,716,553,3480,6,3549,0,0,20,243,0,1,0,49,3934,4964,5933,0,0,3340,2,0,26790
DIESEL,25855,35283,828891,1794,431371,12,218,1886,60459,445,716,10,20445,150526,183684,180647,0,23,801679,274,5,2724223
DIESEL/HYBRID,0,0,15,1,477,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,506
DUAL DIESEL/CNG,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4
ELECTRIC BOV,15,63,445,2,480,0,0,1,2,0,0,0,25,80,252,50,0,1,6371,0,0,7787
FUEL CELL HYDROGEN,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
LNG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2
LPG ONLY,33,71,1554,0,35,0,0,0,82,0,0,0,2,4,16,495,0,0,1040,0,0,3332
NOT APPLICABLE,300,2712,26027,8,517,0,0,6,35,3,2,0,917,1095,3430,652,0,0,75855,1,0,111560
PETROL,54365,884898,6887536,2055,386425,18,413,4212,26714,181,18,7,287295,1061738,906139,249525,1,1,5700597,336,2,16452476
PETROL/CNG,769,1013,40545,248,48713,4,38,75,55,1,12,0,1776,12940,37726,59048,0,0,59768,22,1,262754
PETROL/ETHANOL,0,0,4,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,8
PETROL/HYBRID,1,1,2,0,84,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,94
PETROL/LPG,303,270,30187,19,9717,0,1,71,241,0,1,0,133,3514,5779,6941,0,0,12846,2,0,70025
PURE EV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
SOLAR,2,0,98,0,5,0,0,0,0,0,0,0,0,0,3,2,0,0,88,0,0,198
Total,82359,924864,7818785,4133,881374,34,673,6271,87831,630,750,17,310642,1233831,1141994,503296,1,26,6661605,637,8,19659761
