Fuel,BHARAT STAGE I,BHARAT STAGE II,BHARAT STAGE III,BHARAT STAGE III/IV,BHARAT STAGE IV,BHARAT STAGE IV/VI,BHARAT STAGE VI,Bharat Trem Stage III,Bharat Trem Stage III A,Bharat Trem Stage III B,Bharat Stage III CEV,CEV STAGE IV,EURO 1,EURO 2,EURO 3,EURO 4,EURO 6,EURO 6A,Not Applicable,Not Available,TREM STAGE IV,TREM STAGE V,Total
CNG ONLY,8,125,2318,7,18036,0,3,10,7,1,0,0,6,1053,3195,320,0,0,0,1207,3,0,26299
DIESEL,8301,16712,466427,2246,1207185,29,370,1938,220299,219,778,14,15081,99873,171918,80204,1,1,34,575667,713,4,2868014
DIESEL/HYBRID,2,0,748,2,45028,0,2,1,2,0,0,0,1,2,3,17,0,0,0,2716,0,0,48524
DUAL DIESEL/CNG,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,4
ELECTRIC BOV,146,410,1888,106,2561,0,0,397,163,5,0,0,629,1952,3642,1030,0,0,1,74248,9,1,87188
ETHANOL,0,0,14,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,22
FUEL CELL HYDROGEN,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
LNG,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
LPG ONLY,0,6,394,36,2728,0,0,0,1,0,0,0,1,4,19,0,0,0,0,624,0,0,3813
NOT APPLICABLE,320,1152,13614,195,10547,0,2,80,149,5,2,0,799,1276,1166,591,0,0,1,78606,15,1,108521
PETROL,18536,548910,3273465,2442,9497869,37,379,2035,2962,44,13,7,112984,377486,1490760,279824,1,0,1,4114992,1548,6,19724301
PETROL/CNG,167,720,13814,263,258263,10,40,39,6,0,9,0,945,5677,24404,27470,0,0,0,14740,66,1,346634
PETROL/ETHANOL,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
PETROL/HYBRID,0,0,1,0,679,0,2,0,0,0,0,0,0,3,0,6,0,0,0,15,0,0,706
PETROL/LPG,96,110,13709,26,47693,0,0,156,283,0,2,0,92,1179,6053,1572,0,0,0,17311,0,0,88282
PURE EV,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
SOLAR,0,1,26,0,36,0,0,0,1,0,0,0,5,1,0,2,0,0,0,66,0,0,138
Total,27576,568146,3786420,5323,11090637,76,800,4656,223874,274,804,21,130543,488506,1701160,391036,2,1,37,4880196,2354,13,23302455
