Fuel,BHARAT STAGE I,BHARAT STAGE II,BHARAT STAGE III,BHARAT STAGE III/IV,BHARAT STAGE IV,BHARAT STAGE IV/VI,BHARAT STAGE VI,Bharat Trem Stage III,Bharat Trem Stage III A,Bharat Trem Stage III B,Bharat Stage III CEV,CEV STAGE IV,CEV STAGE V,EURO 6AD,EURO 1,EURO 2,EURO 3,EURO 4,EURO 6,EURO 6A,EURO 6D,Not Applicable,Not Available,TREM STAGE IV,TREM STAGE V,Total
CNG ONLY,1,0,127,4,30248,0,0,3,1,0,0,0,0,0,0,2,175,2,0,0,0,1,884,43,0,31491
DIESEL,2525,3114,112436,1669,2208071,326,329,1689,511999,14,15956,20,1,1,886,3124,11525,1850,38,3,4,38,307951,426,24,3184019
DIESEL/HYBRID,18,4,51,4,57259,0,1,7,1,0,0,0,0,0,0,1,2,11,0,0,0,0,2205,0,0,59564
DUAL DIESEL/CNG,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,5
ELECTRIC BOV,4,11,538,65,8877,1,3,2,1,0,2,0,0,0,18,5,308,57,1,0,0,1,120257,22,0,130173
ETHANOL,0,0,8,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,17
LPG ONLY,0,1,15,5,3885,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,161,0,0,4068
NOT APPLICABLE,968,1568,6124,2768,20022,70,47,173,1383,1,2154,0,0,0,6,19,56,48,1,0,0,0,78725,118,8,114259
PETROL,1920,18765,122990,526,18973688,253,320,209,211,12,197,4,1,0,507,703,74160,6900,11,0,1,0,2094537,566,29,21296510
PETROL/CNG,10,4,345,24,458937,0,9,1,0,0,0,0,0,0,2,7,1126,294,0,0,0,0,3197,6,0,463962
PETROL/ETHANOL,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
PETROL/HYBRID,3,0,3,0,11675,2,2,0,0,0,0,0,0,0,0,0,2,3,1,0,0,0,55,0,0,11746
PETROL/LPG,36,83,629,2,112214,1,0,24,0,0,1,0,0,0,0,2,318,11,0,0,0,0,10929,0,0,124250
SOLAR,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,64
STRONG HYBRID EV,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Total,5485,23550,243266,5067,21884935,653,711,2108,513596,27,18311,24,2,1,1419,3863,87673,9176,52,3,5,40,2618921,1181,61,25420130
