Fuel,BHARAT STAGE I,BHARAT STAGE II,BHARAT STAGE III,BHARAT STAGE III/IV,BHARAT STAGE IV,BHARAT STAGE IV/VI,BHARAT STAGE VI,Bharat Trem Stage III,Bharat Trem Stage III A,Bharat Trem Stage III B,Bharat Stage III CEV,CEV STAGE IV,EURO 1,EURO 2,EURO 3,EURO 4,EURO 6,EURO 6A,EURO 6B,EURO 6C,EURO 6D,Not Applicable,Not Available,TREM STAGE IV,TREM STAGE V,Total
CNG ONLY,0,0,10,1,33479,7,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,32,0,0,33538
DIESEL,833,805,112638,1614,2191245,2386,17866,2807,498410,9,47976,30,49,40,141,419,82,5,3,1,27,28,49904,130,14,2927462
DIESEL/HYBRID,7,0,15,1,38078,0,21,0,1,0,3,0,0,1,1,9,0,0,0,0,0,0,975,0,0,39112
DUAL DIESEL/CNG,0,0,0,0,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7
ELECTRIC BOV,4,1,50,11,12377,2,3,2,1,0,25,0,0,0,2,3,0,0,0,0,0,2,154383,1,1,166868
ETHANOL,0,0,0,1,2,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
LNG,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
LPG ONLY,2,1,199,0,3647,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,3867
METHANOL,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
NOT APPLICABLE,8,9,354,2004,20862,632,37,238,1100,4,2057,0,2,2,8,44,0,0,0,0,1,0,61646,209,4,89221
PETROL,567,525,22986,566,19656188,264771,83941,48,32,1,318,3,40,61,126,921,37,0,3,0,42,0,258649,48,5,20289878
PETROL/CNG,15,2,108,10,407914,11270,912,0,0,0,1,0,2,3,3,33,0,0,0,0,0,0,1723,1,0,421997
PETROL/ETHANOL,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
PETROL/HYBRID,9,0,8,0,54995,20487,435,0,0,0,0,0,1,1,3,20,1,0,0,0,0,0,192,5,0,76157
PETROL/LPG,11,7,187,0,107749,911,188,7,0,0,0,0,2,1,0,1,0,0,0,0,0,0,349,2,0,109415
PURE EV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
SOLAR,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Total,1456,1350,136556,4208,22526550,300467,103414,3102,499544,14,50388,33,96,109,284,1450,120,5,6,1,70,30,527871,396,24,24157544
