Fuel,BHARAT STAGE I,BHARAT STAGE II,BHARAT STAGE III,BHARAT STAGE III/IV,BHARAT STAGE IV,BHARAT STAGE IV/VI,BHARAT STAGE VI,Bharat Trem Stage III,Bharat Trem Stage III A,Bharat Trem Stage III B,Bharat Stage III CEV,CEV STAGE IV,EURO 6AD,EURO 1,EURO 2,EURO 3,EURO 4,EURO 6,EURO 6A,EURO 6B,EURO 6C,EURO 6D,Not Applicable,Not Available,TREM STAGE IV,TREM STAGE V,Total
CNG ONLY,0,0,0,2,13262,9,29965,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,43242
DIESEL,296,310,119618,544,704407,1383,568579,3932,579282,8,45920,21,2,13,21,51,172,270,5,2,3,5,9,1155,50,2,2026060
DIESEL/HYBRID,0,0,14,0,2885,0,13,0,2,0,1,0,0,0,0,0,2,1,0,0,0,0,0,1,0,0,2919
DUAL DIESEL/BIO CNG,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
DUAL DIESEL/CNG,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ELECTRIC BOV,1,0,6,5,7387,0,14,0,1,0,22,0,0,0,0,1,3,0,0,0,0,0,0,117205,2,0,124647
ETHANOL,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3
LNG,0,0,0,0,15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16
LPG ONLY,0,0,1,0,3031,0,6879,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,9914
METHANOL,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2
NOT APPLICABLE,2,7,158,476,9008,453,4980,77,527,5,821,0,0,0,0,9,25,13,0,0,0,1,0,67434,83,0,84079
PETROL,283,421,8648,291,5404330,198174,10355721,29,19,0,39,12,0,21,99,98,897,181,0,4,0,67,2,5019,15,3,15974373
PETROL/CNG,10,1,22,0,85574,7346,148209,0,0,0,0,0,0,0,2,6,18,1,0,0,0,0,0,7,0,0,241196
PETROL/ETHANOL,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
PETROL/HYBRID,1,0,0,0,7039,13315,65835,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,1,0,0,86196
PETROL/LPG,1,1,52,1,28178,574,11524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,40337
Total,594,740,128519,1319,6265121,221255,11191722,4038,579831,13,46808,33,2,34,123,165,1121,466,5,6,3,73,11,190832,151,5,18632990
