Fuel,BHARAT STAGE I,BHARAT STAGE II,BHARAT STAGE III,BHARAT STAGE III/IV,BHARAT STAGE IV,BHARAT STAGE IV/VI,BHARAT STAGE VI,Bharat Trem Stage III,Bharat Trem Stage III A,Bharat Trem Stage III B,Bharat Stage III CEV,CEV STAGE IV,CEV STAGE V,EURO 1,EURO 2,EURO 3,EURO 4,EURO 6,EURO 6A,EURO 6B,EURO 6C,EURO 6D,Not Applicable,Not Available,TREM STAGE IV,Total
CNG ONLY,0,0,1,0,306,1,166020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,166328
DIESEL,183,191,121545,116,21044,44,1161095,4370,649569,6,46676,8924,220,4,10,6,29,103,7,0,2,5,21,276,48,2014494
DIESEL/HYBRID,0,0,1,0,24,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36
DUAL DIESEL/CNG,0,0,0,0,0,0,2,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
ELECTRIC BOV,0,0,4,0,8314,1,40,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,1,323132,0,331538
LNG,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
LPG ONLY,0,0,0,0,397,0,13018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,13416
METHANOL,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
NOT APPLICABLE,0,1,105,0,1291,1,8946,1,172,0,187,0,0,0,0,0,0,5,11,0,0,1,0,71781,0,82502
PETROL,267,255,1392,137,15813,20,15858949,11,6,0,1,0,1,11,93,127,22,48,0,1,0,3,0,1431,0,15878588
PETROL/CNG,1,0,10,1,192,1,280280,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,280488
PETROL/ETHANOL,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
PETROL/HYBRID,0,0,0,0,47,0,125579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,125627
PETROL/LPG,2,2,17,0,94,0,20383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,20504
SOLAR,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Total,453,449,123076,254,47522,68,17634329,4382,649747,6,46923,8924,221,15,103,134,51,156,18,1,2,9,22,396630,48,18913543
