Fuel,BHARAT STAGE I,BHARAT STAGE II,BHARAT STAGE III,BHARAT STAGE III/IV,BHARAT STAGE IV,BHARAT STAGE IV/VI,BHARAT STAGE VI,Bharat Trem Stage III,Bharat Trem Stage III A,Bharat Trem Stage III B,Bharat Stage III CEV,CEV STAGE IV,CEV STAGE V,EURO 1,EURO 2,EURO 3,EURO 4,EURO 6,EURO 6A,EURO 6B,EURO 6D,Not Applicable,Not Available,TREM STAGE IV,TREM STAGE V,Total
CNG ONLY,0,0,0,0,67,1,297361,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,297431
DIESEL,61,346,100322,58,11175,25,1476786,1693,705262,5,21810,26630,1099,6,12,21,3,45,12,0,3,6,222,806,19,2346427
DIESEL/HYBRID,0,0,0,0,18,0,718,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,737
DUAL DIESEL/CNG,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
DUAL DIESEL/LNG,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ELECTRIC BOV,0,0,1,0,43,0,202,0,0,0,49,0,1,0,0,0,1,0,0,0,0,5,1024689,0,0,1024991
ETHANOL,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
LNG,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20
LPG ONLY,0,0,0,0,1,0,14405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14406
NOT APPLICABLE,0,1,22,1,234,1,5968,2,102,0,156,1,0,0,0,0,1,5,2,0,1,2,73958,0,0,80457
PETROL,167,353,2040,32,6304,11,17166916,126,3,0,0,1,1,20,192,281,18,7,3,2,3,1,466,0,0,17176947
PETROL/CNG,0,1,7,2,123,0,434617,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,4,0,0,434756
PETROL/ETHANOL,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
PETROL/HYBRID,0,0,0,0,12,0,192261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,192274
PETROL/LPG,2,2,8,0,17,0,12229,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,12261
STRONG HYBRID EV,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Total,230,703,102400,93,17994,38,19601491,1821,705370,5,22016,26632,1101,28,205,302,23,57,17,2,7,14,1099343,806,19,21580717
