Fuel,BHARAT STAGE I,BHARAT STAGE II,BHARAT STAGE III,BHARAT STAGE III/IV,BHARAT STAGE IV,BHARAT STAGE IV/VI,BHARAT STAGE VI,Bharat Trem Stage III,Bharat Trem Stage III A,Bharat Trem Stage III B,Bharat Stage III CEV,CEV STAGE IV,CEV STAGE V,EURO 1,EURO 2,EURO 3,EURO 4,EURO 6,EURO 6A,EURO 6D,Not Applicable,Not Available,TREM STAGE IV,TREM STAGE V,Total
CNG ONLY,0,0,0,0,3,0,421303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,421311
DIESEL,10,117,1969,24,3691,6,1623638,852,861170,6,28877,37632,1162,3,5,11,4,584,1,3,7,130,9397,167,2569466
DIESEL/HYBRID,0,0,1,0,7,0,2454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2464
ELECTRIC BOV,0,0,1,0,1,1,230,0,0,0,7,0,0,0,0,0,0,7,0,0,7,1532146,0,0,1532400
LNG,0,0,0,0,0,0,244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,244
LPG ONLY,0,0,0,0,0,0,26812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26812
NOT APPLICABLE,0,0,0,0,19,1,293,3,4,1,21,1,0,0,0,0,0,8,2,0,4,66002,1,0,66360
PETROL,39,144,785,34,1855,10,18126852,91,1,0,0,0,0,4,111,175,14,17,1,1,4,412,1,0,18130551
PETROL/CNG,0,0,2,0,32,0,544568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,544602
PETROL/ETHANOL,0,0,0,0,0,0,379870,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,379870
PETROL/HYBRID,0,0,0,0,5,0,331198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,331203
PETROL/LPG,0,0,2,0,5,0,6103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6110
PURE EV,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,10
STRONG HYBRID EV,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Total,49,261,2760,58,5618,18,21463567,946,861175,7,28905,37633,1162,7,116,186,18,616,4,4,22,1598701,9404,167,24011404
