Fuel,BHARAT STAGE I,BHARAT STAGE II,BHARAT STAGE III,BHARAT STAGE III/IV,BHARAT STAGE IV,BHARAT STAGE IV/VI,BHARAT STAGE VI,Bharat Trem Stage III,Bharat Trem Stage III A,Bharat Trem Stage III B,Bharat Stage III CEV,CEV STAGE IV,CEV STAGE V,EURO 1,EURO 2,EURO 3,EURO 4,EURO 6,EURO 6C,EURO 6D,Not Applicable,Not Available,TREM STAGE IV,TREM STAGE V,Total
CNG ONLY,0,0,0,0,1,1,482326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,482332
DIESEL,8,80,866,29,2057,3,1663770,93,865837,5,30812,45086,1754,1,3,12,3,450,4,1,1,65,27736,438,2639114
DIESEL/HYBRID,0,0,0,0,2,0,5256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5259
DUAL DIESEL/LNG,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21
ELECTRIC BOV,0,0,0,0,1,1,97,0,0,0,1,10,0,0,0,0,0,11,0,0,6,1457289,0,0,1457416
ETHANOL,0,0,0,0,0,0,184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,184
FUEL CELL HYDROGEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,15
LNG,0,0,0,0,0,0,349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,349
LPG ONLY,0,0,0,0,0,0,32636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32636
NOT APPLICABLE,0,0,0,0,31,0,97,1,7,1,20,0,0,0,0,0,0,1,0,0,2,62943,1,0,63104
PETROL,65,321,1247,71,953,17,19287408,103,0,0,0,0,0,1,41,164,4,22,0,0,4,324,0,0,19290745
PETROL/CNG,0,0,2,0,19,0,731048,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,731071
PETROL/ETHANOL,0,0,0,0,1,0,657006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,657008
PETROL/HYBRID,0,0,0,0,6,0,295146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,295152
PETROL/LPG,0,0,0,0,5,0,5525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5530
PLUG IN HYBRID EV,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42
PURE EV,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,493274,0,0,493275
SOLAR,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
STRONG HYBRID EV,0,0,0,0,0,0,58495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,58496
Total,73,401,2115,100,3076,22,23219408,197,865846,6,30833,45096,1754,2,44,176,7,484,4,1,13,2013912,27742,438,26211750
