Fuel,BHARAT STAGE I,BHARAT STAGE II,BHARAT STAGE III,BHARAT STAGE III/IV,BHARAT STAGE IV,BHARAT STAGE IV/VI,BHARAT STAGE VI,Bharat Trem Stage III,Bharat Trem Stage III A,Bharat Trem Stage III B,Bharat Stage III CEV,CEV STAGE IV,CEV STAGE V,EURO 1,EURO 2,EURO 3,EURO 4,EURO 6,Not Applicable,Not Available,TREM STAGE IV,TREM STAGE V,Total
CNG ONLY,0,0,0,0,0,0,151441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151441
DIESEL,4,83,140,18,100,0,570027,14,262941,1,9075,10502,8190,0,0,0,2,271,1,4,12231,73,873677
DIESEL/HYBRID,0,0,0,0,0,0,1875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1875
DUAL DIESEL/LNG,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30
ELECTRIC BOV,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,5,0,249342,0,0,249355
ETHANOL,0,0,0,0,0,0,567,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,567
FUEL CELL HYDROGEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2
LNG,0,0,0,0,0,0,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114
LPG ONLY,0,0,0,0,0,0,10436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10436
NOT APPLICABLE,0,0,0,0,0,0,17,0,0,0,2,0,0,0,0,0,0,2,0,20412,0,0,20433
PETROL,12,157,262,52,225,3,5619527,25,0,0,2,0,0,3,12,29,3,6,1,18,0,0,5620337
PETROL/CNG,0,0,0,0,1,0,286309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,286310
PETROL/ETHANOL,0,5,2,0,0,0,321056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,321063
PETROL/HYBRID,0,0,0,0,0,0,85882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85882
PETROL/LPG,0,0,0,0,0,0,1012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1012
PLUG IN HYBRID EV,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36
PURE EV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,382767,0,0,382767
STRONG HYBRID EV,0,0,0,0,0,0,33136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33136
Total,16,245,404,70,326,3,7081473,39,262941,1,9079,10502,8190,3,12,29,5,284,2,652545,12231,73,8038473
