Fuel,AN,AP,AR,AS,BR,CG,CH,DD,DL,GA,GJ,HP,HR,JH,JK,KA,KL,LA,LD,MH,ML,MN,MP,MZ,NL,OR,PB,PY,RJ,SK,TN,TR,UK,UP,WB,Total
CNG ONLY,0,60,2,0,10,1,1,2,18877,0,355,0,1074,1,1,28,31,0,0,1361,0,0,185,2,0,2,20,0,31,0,2,326,5,4517,13,26907
DIESEL,568,102027,1434,17403,37595,26963,7768,2226,24210,5820,83352,12567,80505,38854,12263,126669,112108,593,129,139447,5299,2783,78987,1200,8573,50646,84247,4188,106406,1276,138253,2546,17918,169391,58142,1562356
DIESEL/HYBRID,0,0,1,2,6,0,0,0,0,0,6,0,1,0,0,1,5,0,0,7,0,0,0,0,0,0,4,0,4,0,1,0,0,5,0,43
DUAL DIESEL/CNG,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3
ELECTRIC BOV,0,623,1,5,17,116,1,12,724,5,381,0,18,24,5,997,322,0,10,721,0,0,689,0,0,325,63,155,63,0,1800,0,20,220,91,7408
ETHANOL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
FUEL CELL HYDROGEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
LNG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2
LPG ONLY,1,21,0,28,12,26,1245,0,943,0,9,2,46,0,0,323,77,0,0,48,0,0,106,0,0,7,124,2,443,0,270,0,1,93,8876,12703
NOT APPLICABLE,0,12888,92,160,2608,3676,3,31,24,8,3685,10,8872,162,0,14320,58,0,0,3030,91,43,5601,14,10,6189,616,11,186,7,2724,24,475,836,1187,67641
PETROL,5927,382799,7886,74991,62991,155554,26454,7771,301681,32053,385983,55779,305982,162433,47675,693815,383046,815,816,910625,12595,15178,548414,9391,5308,241288,301577,57978,286647,1427,962941,14684,95825,1051375,307566,7917270
PETROL/CNG,1,740,4,29,103,21,174,178,27338,21,59732,188,11582,28,142,718,331,0,3,26353,10,84,2372,10,8,21,2315,6,1719,1,80,85,179,14208,292,149076
PETROL/ETHANOL,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,8
PETROL/HYBRID,0,0,0,0,1,0,0,0,0,0,2,1,0,0,0,0,1,0,0,2,0,0,0,0,0,0,2,0,1,0,0,0,0,0,1,11
PETROL/LPG,6,4819,3,57,27,949,232,44,733,355,2879,116,3179,6,2404,15086,4506,0,0,12765,24,5,9660,0,2,917,1342,146,15016,1,15654,1,1300,15035,2367,109636
SOLAR,0,4,0,0,0,0,0,0,0,0,22,0,5,0,0,4,1,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,60
Total,6503,503981,9424,92677,103370,187306,35878,10264,374530,38262,536408,68663,411264,201508,62490,851961,500486,1408,958,1094379,18019,18093,646015,10617,13901,299395,390311,62486,410523,2712,1121725,17666,115724,1255684,378535,9853126
