Norms,AHMEDABAD,AHMEDABAD EAST,AJMER RTO,AKLUJ,ALIGARH RTO,ALUVA SRTO,ALWAR RTO,AMBALA CITY,AMBEJOGAI,AMBUR UO,AMRAWATI,AMRELI,ANAND,ANGAMALI SRTO,ARAKKONAM UO,ARIYALUR RTO,ASSANDH,ATTINGAL RTO,AVINASHI UO,Agra RTO,Ambikapur RTO,Amethi ARTO,Anakapalli RTA,BAHADURGARH,BAIKUNTHPUR DTO,BALASORE RTO,BALLABGARH,BANASKANTHA,BANKURA RTO,BANTWALA ARTO,BARAMATI,BARAN DTO,BAREILLY,BASAVAKALYAN ARTO,BASKA,BEED,BEHALA ARTO,BELLARY RTO,BENGALURU CENTRAL RTO,BENGALURU EAST RTO,BENGALURU NORTH RTO,BENGALURU SOUTH RTO,BENGALURU WEST RTO,BHAGALPUR,BHALKI ARTO,BHARUCH,BHAVNAGAR,BHILWARA DTO,BHIWARI DTO,BHOPAL RTO,BHUBANESWAR RTO,BIRBHUM RTO,BOKARO,BOUDH RTO,BULDHANA,Bahraich,Balod DTO,Bhadohi(SANT RAVIDAS NAGAR),Bilaspur RTO,CACHAR,CHALAKKUDY SRTO,CHANDAPURA BENGALURU RTO,CHANDIGARH UT (RLA AND STA),CHANDIKHOLE RTO,CHENGALPATTU RTO,CHENNAI (EAST RTO,CHENNAI (SOUTH RTO,CHENNAI (SOUTH-EAST RTO,CHENNAI (SOUTH-WEST RTO,CHHATRAPATI SAMBHAJINAGAR,CHHINDWARA ARTO,CHICKABALLAPUR RTO,CHIKAMANGLUR RTO,CHIKKODI RTO,CHINTAMANI ARTO,CHITRADURGA RTO,CHITTORGARH RTO,CHITTUR SRTO,COIMBATORE (CENTRAL RTO,CUTTACK RTO,Chirala UO,DAKSHIN DINAJPUR RTO,DAMAN,DAMOH DTO,DAVANAGERE RTO,DEHRADUN RTO,DEORIA,DEVANAHALLI ARTO,DEWAS DTO,DHANBAD,DHARASHIV,DHARMAPURI RTO,DHARWAD EAST RTO,DHARWAD WEST RTO,DHENKANAL RTO,DIMAPUR DTO,DINDORI DTO,DUNGARPUR DTO,DURG RTO,DWARKA,DY REGIONAL TRANSPORT OFFICE HINGOLI,Dantewada DTO,Dhamtari DTO,ELECTRONIC CITY RTO,ERNAKULAM RTO,ERODE RTO,FATEHABAD,FEROZABAD,GADAG RTO,GADCHIROLI,GANDHINAGAR,GOLAGHAT,GWALIOR RTO,Gorakhpur RTO,HALDWANI RTO,HARIDWAR ARTO,HASSAN RTO,HAZARIBAG,HISAR,HOOGHLY RTO,HOSANGABAD DTO,HOSPET RTO,I P ESTATE,ICHALKARANJI,INDORE RTO,JABALPUR RTO,JAGATPURA JAIPUR ARTO,JAGDALPUR RTO,JAIPUR (FIRST RTO,JAIPUR (SECOND RTO,JALANA,JAMNAGAR,JANAKPURI,JAUNPUR,JHABUA DTO,JHAJHAR,JNANABHARATHI RTO,JODHPUR RTO,Janjgir Champa DTO,JhansiRTO,K G F ARTO,KACHCHH,KAITHAL,KALYAN,KAMRUP(RURAL),KANCHEEPURAM RTO,KANPUR NAGAR,KARAD,KAROLI DTO,KASBA ARTO,KASHIPUR ARTO,KEONJHAR RTO,KHANDWA ARTO,KHARGONE ARTO,KHEDA,KODUVALLY SRTO,KOLAR RTO,KOLHAPUR,KOPPAL RTO,KOTTAYAM RTO,KOVILPATTI RTO,KOZHIKODE RTO,KRISHNARAJAPURAM RTO,KUMBAKONAM RTO,KUPWARA ARTO,Korba DTO,Kovvuru UO,LAKHIMPUR,LAKHIMPUR KHERI,LONI ROAD,LUNAVADA,MADHUGIRI TUMAKURU ARTO,MADIKERI RTO,MADURAI (NORTH RTO,MADURANTAGAM UO,MALAPPURAM RTO,MALEGAON,MALL ROAD,MANGALORE RTO,MARGAO RTO,MATTANCHERRY SRTO,MAYUR VIHAR,MEENAMBAKKAM RTO,MEERUT RTO,MELUR UO,METTUPALAYAM RTO,MINICOY,MORADABAD,MUMBAI (CENTRAL),MUMBAI (EAST),MUMBAI (WEST),MURSHIDABAD RTO,MUZAFFARPUR,MYSURU EAST RTO,MYSURU WEST RTO,Mahasamund DTO,Mau,Mungeli DTO,NADIA RTO,NAGAMANGALA RTO,NAGAPATTINAM RTO,NAGAUR DTO,NAGPUR (EAST),NAGPUR (RURAL),NAGPUR (U),NALANDA,NAMAKKAL (SOUTH RTO,NANDED,NARSINGHPUR DTO,NASHIK,NAVSARI,NELAMANGALA RTO,NILAMBUR SRTO,NORTH PARUR SRTO,Noida,OTTAPPALAM SRTO,PADRAUNA(KUSHI NAGAR),PANCHMAHAL,PANVEL,PARAMAKUDI UO,PARBHANI,PASCHIM MIDNAPORE RTO,PATAN,PATNA,PERUMBAVUR SRTO,PHALTAN,POLLACHI RTO,PRATAPGARH DTO,PUDUCHERRY,PUNE,PURI RTO,PVD KOLKATA,Palakole UO,R.T.O.BORIVALI,RAICHUR RTO,RAIRANGPUR ARTO,RAISEN DTO,RAJKOT,RAJOURI GARDEN,RAJPUR ROAD/VIU BURARI,RAJSAMAND DTO,RAMANAGAR RTO,RAMANATHAPURAM RTO,RAMANATTUKARA (FEROKE SRTO,RANCHI,REDHILLS RTO,REGIONAL TRANSPORT OFFICE BELAGAVI,REWA RTO,RLA HAMIRPUR,RLA KANGRA,ROHINI,ROHTAS,RTA BHIWANI,RTA GURGAON,RTA JHAJJAR AT BAHADURGARH,RTA Kakinada,RTA ROHTAK,RTA SONEPAT,RTO AHEMEDNAGAR,RTO AKOLA,RTO AMRITSAR,RTO BATHINDA,RTO CHANDRAPUR,RTO CHENNAI (NORTH WEST),RTO FEROZPUR,RTO GANGTOK,RTO GURDASPUR,RTO JALANDHAR,RTO JALGAON,RTO KAPURTHALA,RTO KULLU,RTO LATUR,RTO LUDHIANA,RTO PIMPRI CHINCHWAD,RTO SANGRUR,RTO SATARA,RTO SBS NAGAR,RTO SOLAPUR,RTO TARN TARAN,RTO UNA,Raibareilly,Raigarh DTO,Raipur RTO,SABARKANTHA,SAGAR ARTO,SAGAR RTO,SAHARANPUR RTO,SALTLAKE ARTO,SAMBA ARTO,SAMBALPUR RTO,SANGLI,SARAI KALE KHAN,SATNA ARTO,SAWAI MADHOPUR DTO,SDM GURUGRAM,SEHORE DTO,SEONI ARTO,SHAJAPUR DTO,SHIMOGA RTO,SHIVPURI DTO,SHOLINGANALLUR RTO,SIKAR RTO,SINDHUDURG(KUDAL),SINGROLI DTO,SIRKALI UO,SOUTH DELHI,SRIRAMPUR,SUJANGARH DTO,SULTHANBATHERY SRTO,SURAJMAL VIHAR,SURAT,Sant Kabir Nagar,Sitapur,TARIKERE CHIKKAMAGALURU ARTO,THANE,THANJAVUR RTO,THENI RTO,THIRUCHENDUR RTO,THIRUMANGALAM UO,THIRUR SRTO,THIRURANGADI SRTO,THRISSUR RTO,TIPTUR ARTO,TIRUCHI(EAST RTO,TIRUVANNAMALAI RTO,TIRUVARUR RTO,TIRUVERANBUR UO,TRANSPORT NAGAR RTO LUCKNOW (UP32),TUMKUR RTO,Tanuku UO,UDGIR,UDHAMPUR ARTO,UDUPI RTO,UJJAIN RTO,Unnao,VADODARA,VALLIYUR UO,VALSAD,VANDIPERIYAR SRTO,VARANASI RTO,VASAI,VASANT VIHAR,VASCO RTO,VASHI (NEW MUMBAI),VERAVAL,VIRUDHACHALAM UO,VIRUDHUNAGAR RTO,Vishakapatnam RTA,Vizianagaram RTA,WASHIM,WAZIRPUR,YADGIRI RTO,YALAHANKA RTO,YAWATMAL,Total
BHARAT STAGE I,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,15
BHARAT STAGE II,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63
BHARAT STAGE III,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,1,0,0,1,0,1,0,16,0,0,0,1,0,45,3,1,9,0,1,0,0,3,1,1,28,0,0,1,0,0,0,0,28,0,0,4,0,1,0,0,0,0,0,0,0,1,2,1,1,5,0,0,0,6,0,0,0,0,3,0,0,4,0,0,0,0,11,15,2,0,0,0,0,15,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,2,5,0,2,0,0,1,16,0,0,0,0,0,0,0,0,0,0,0,0,4,3,1,0,0,2,2,2,0,0,0,0,0,0,0,0,1,0,0,0,1,6,0,2,0,0,0,66,0,0,1,0,0,0,0,0,1,3,0,0,1,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,0,0,3,1,2,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,3,0,0,0,6,1,0,0,0,0,12,2,0,0,0,0,3,0,0,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,0,0,0,2,0,0,0,0,1,0,0,0,1,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,9,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,445
BHARAT STAGE III/IV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2
BHARAT STAGE IV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,41,91,62,108,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,50,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,20,0,0,0,0,0,0,3,0,0,0,0,0,0,0,15,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,21,0,9,0,480
Bharat Trem Stage III,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Bharat Trem Stage III A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
EURO 1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,25
EURO 2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80
EURO 3,6,3,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,15,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,197,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,252
