Norms,AP,AR,AS,BR,CG,CH,DD,DL,GA,GJ,HR,JH,JK,KA,KL,LD,MH,MP,OR,PB,PY,RJ,TN,UK,UP,WB,Total
BHARAT STAGE I,0,0,0,0,0,0,0,2,0,1,1,0,0,3,0,0,1,0,0,0,0,1,0,0,7,0,16
BHARAT STAGE II,0,0,0,0,62,0,0,158,0,2,17,0,0,994,0,0,0,0,325,0,0,1,0,4,14,18,1595
BHARAT STAGE III,0,0,0,0,7,0,0,71,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,14,0,97
BHARAT STAGE IV,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7,1,10
Bharat Trem Stage III A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,14
EURO 1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,35,3,0,0,2,0,44
EURO 2,0,0,0,0,0,0,0,32,0,233,0,0,0,0,0,0,0,0,0,0,0,30,0,3,5,2,305
EURO 3,0,0,0,0,1,0,0,14,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,67
EURO 4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Not Available,623,1,5,17,45,1,12,447,5,88,0,24,5,0,322,10,719,689,0,63,120,27,1800,13,156,67,5259
Total,623,1,5,17,116,1,12,724,5,381,18,24,5,997,322,10,721,689,325,63,155,63,1800,20,220,91,7408
