Norms,AP,AR,AS,BR,CG,CH,DD,DL,GA,GJ,HP,HR,JH,JK,KA,KL,LD,MH,MP,MZ,NL,OR,PB,PY,RJ,SK,TN,UK,UP,WB,Total
BHARAT STAGE I,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
BHARAT STAGE II,0,0,0,0,107,0,0,57,1,34,0,3,0,0,342,0,0,1,0,2,0,50,0,0,22,0,0,2,26,8,655
BHARAT STAGE III,0,0,0,0,0,0,0,141,0,2,0,2,0,0,255,1,0,1,0,0,0,23,0,0,7,0,0,0,1,1,434
BHARAT STAGE IV,0,0,0,0,0,0,0,24,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,1,0,0,0,6,0,56
Bharat Trem Stage III,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
Bharat Trem Stage III A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,24
EURO 1,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,8,0,16
EURO 2,0,0,0,0,1,0,0,29,0,47,0,2,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,43,0,141
EURO 3,0,0,0,0,0,0,0,111,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,8,0,0,156
EURO 4,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,16,32
Not Available,254,1,6,77,63,3,3,252,23,103,2,0,4,5,0,170,14,611,180,0,1,0,74,79,32,2,859,5,199,94,3116
Total,254,1,6,77,172,3,3,614,24,241,2,7,4,5,624,171,14,615,180,2,1,73,74,79,82,2,859,15,312,119,4635
