Norms,AP,AS,BR,CG,DD,DL,GA,GJ,HP,HR,JH,JK,KA,KL,LD,MH,MN,MP,OR,PB,PY,RJ,SK,TN,UK,UP,WB,Total
BHARAT STAGE I,0,0,0,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,3,3,12
BHARAT STAGE II,0,0,0,112,0,0,0,11,0,0,0,0,67,0,0,0,0,0,2,0,0,24,0,0,0,28,0,244
BHARAT STAGE III,0,0,0,60,0,136,0,0,1,14,0,0,582,0,0,3,0,0,100,0,0,93,0,0,3,0,45,1037
BHARAT STAGE IV,0,0,0,45,0,36,0,1,0,0,0,0,375,3,0,0,0,0,0,0,0,1,0,0,0,0,1,462
Bharat Trem Stage III A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5
EURO 1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,3,16
EURO 2,0,0,0,0,0,3,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,58,0,0,1,305,0,380
EURO 3,0,0,0,0,0,512,0,281,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0,23,2,0,867
EURO 4,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,8,26,52
Not Applicable,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Not Available,81,2,156,51,7,53,29,177,1,0,7,10,2,123,16,996,5,312,0,545,40,114,2,703,1,264,191,3888
Total,81,2,156,270,7,741,29,502,2,14,7,10,1028,126,16,999,5,312,102,545,40,342,2,703,29,625,269,6964
