Norms,AP,AR,AS,BR,CG,CH,DD,DL,GA,GJ,HP,HR,JH,JK,KA,KL,LD,MH,ML,MP,MZ,OR,PB,PY,RJ,SK,TN,UK,UP,WB,Total
BHARAT STAGE I,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,3,8,22
BHARAT STAGE II,0,0,0,0,66,0,0,0,0,4,0,0,0,0,32,0,0,0,0,0,1,11,0,0,2,0,0,1,50,20,187
BHARAT STAGE III,0,0,1,0,52,0,0,14,0,0,0,20,0,0,833,0,0,3,0,0,0,100,0,0,142,0,0,20,0,17,1202
BHARAT STAGE IV,0,0,0,0,14,0,0,16,0,0,0,0,0,0,239,1,0,0,0,1,0,0,0,0,1,0,1,0,1,4,278
Bharat Trem Stage III A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4
EURO 1,0,0,0,0,0,0,0,1,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1,48
EURO 2,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0,1,165,0,240
EURO 3,0,0,0,0,3,0,0,329,0,236,0,1,0,0,0,0,0,1,0,0,0,0,0,0,57,0,1,26,7,0,661
EURO 4,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,7,20
Not Available,19,1,3,20,49,2,1,9,31,143,2,0,15,5,0,103,9,507,1,160,1,0,617,47,85,3,672,0,146,186,2837
Total,19,1,4,20,184,2,1,369,31,434,3,21,15,5,1104,104,9,511,1,161,2,121,617,47,352,3,674,48,393,243,5499
