Norms,AP,AS,BR,CG,CH,DL,GA,GJ,HP,HR,JH,JK,KA,KL,LD,MH,ML,MP,NL,OR,PB,PY,RJ,TN,TR,UK,UP,WB,Total
BHARAT STAGE I,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,1,1,11
BHARAT STAGE II,0,0,0,35,0,0,0,4,0,0,0,0,17,0,0,1,0,0,0,0,0,0,0,0,0,0,33,5,95
BHARAT STAGE III,0,1,0,14,0,6,0,2,0,4,0,0,334,0,0,5,0,0,0,102,0,0,62,0,0,0,1,7,538
BHARAT STAGE IV,0,0,0,15,0,41,0,0,1,1,0,0,195,1,0,2,0,0,0,0,0,0,1,1,0,3,2,1,264
Bharat Trem Stage III,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
Bharat Trem Stage III A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
EURO 1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,9
EURO 2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,93,0,133
EURO 3,0,0,0,1,0,56,0,55,0,1,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,21,2,0,155
EURO 4,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,6,2,21
Not Applicable,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Not Available,19,2,14,13,1,7,19,36,1,0,16,4,0,62,5,563,3,51,3,0,178,25,41,363,1,0,56,16,1499
Total,19,3,14,78,1,115,19,108,2,6,16,4,548,63,5,571,3,51,3,102,178,25,171,364,1,25,202,32,2729
