Norms,AP,AS,BR,CG,DL,GA,GJ,HP,HR,JH,JK,KA,KL,LD,MH,ML,MP,OR,PB,PY,RJ,SK,TN,UK,UP,WB,Total
BHARAT STAGE I,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,3,0,0,0,0,0,7
BHARAT STAGE II,0,0,0,17,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,14,0,37
BHARAT STAGE III,0,0,0,71,12,0,1,0,4,0,0,285,0,0,1,0,0,51,1,0,49,0,0,0,0,0,475
BHARAT STAGE IV,0,0,0,3,22,0,0,0,2,0,0,319,0,0,0,0,0,0,0,1,3,0,0,0,2,1,353
Bharat Trem Stage III A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3
EURO 1,0,0,0,0,0,0,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,32
EURO 2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,68,0,91
EURO 3,0,2,0,0,11,0,32,0,0,0,0,0,0,0,2,0,0,0,0,0,3,0,0,7,0,0,57
EURO 4,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,14
Not Applicable,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3
Not Available,12,2,11,31,1,9,27,1,0,4,4,1,22,2,899,1,40,0,30,2,10,1,177,2,19,1,1309
Total,12,4,11,123,46,9,78,1,9,4,4,606,22,2,902,1,40,51,31,4,89,1,177,9,143,2,2381
