Norms,AP,AS,BR,CG,CH,DD,DL,GA,GJ,HP,HR,JH,JK,KA,KL,LD,MH,MP,NL,OR,PB,PY,RJ,SK,TN,UK,UP,WB,Total
BHARAT STAGE I,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,2,3,0,0,0,7,0,15
BHARAT STAGE II,0,0,0,13,0,0,1,0,1,0,35,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,12,0,63
BHARAT STAGE III,0,0,0,34,0,0,35,0,2,1,16,0,0,269,2,0,1,1,0,47,0,0,30,0,0,2,0,5,445
BHARAT STAGE III/IV,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
BHARAT STAGE IV,0,0,0,1,0,0,51,0,0,0,1,0,0,415,0,0,0,0,0,0,0,0,3,0,0,0,1,8,480
Bharat Trem Stage III,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
Bharat Trem Stage III A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2
EURO 1,0,0,0,0,0,0,2,0,5,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,16,0,25
EURO 2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,60,0,80
EURO 3,0,0,0,1,0,0,203,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,11,0,1,252
EURO 4,0,0,0,0,0,0,0,0,12,0,1,0,0,0,0,0,0,0,0,0,1,0,32,0,0,0,2,2,50
Not Applicable,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2
Not Available,9,23,69,37,2,2,3270,4,21,3,0,194,4,1,23,4,998,84,1,0,17,8,587,1,82,2,913,14,6373
Total,9,23,69,86,2,2,3564,4,78,4,55,194,4,686,26,4,999,85,1,47,18,11,674,1,83,15,1016,30,7790
