Norms,AN,AP,AR,AS,BR,CG,CH,DD,DL,GA,GJ,HP,HR,JH,KA,KL,LD,MH,ML,MN,MP,MZ,OR,PB,PY,RJ,TN,UK,UP,WB,Total
BHARAT STAGE I,0,0,0,0,0,0,0,0,5,0,0,0,66,0,0,0,0,0,0,0,0,0,0,0,0,79,0,1,17,0,168
BHARAT STAGE II,0,0,0,0,0,13,0,0,4,0,2,0,275,0,0,0,0,0,0,0,0,0,0,0,0,302,0,2,322,1,921
BHARAT STAGE III,0,0,0,0,0,58,0,0,39,0,0,0,385,0,271,1,0,1,0,0,2,1,25,0,0,157,0,19,96,140,1195
BHARAT STAGE III/IV,0,0,0,0,0,0,0,0,68,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,73
BHARAT STAGE IV,0,0,0,0,0,7,0,0,44,0,0,0,531,0,313,2,0,0,0,1,0,0,0,0,0,10,0,5,23,4,940
Bharat Trem Stage III,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,73,0,77
Bharat Trem Stage III A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,0,150
EURO 1,0,0,0,0,0,0,0,0,2,0,1,0,66,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,333,0,403
EURO 2,0,0,0,0,0,0,0,0,1,0,9,0,7,0,0,0,0,0,0,0,0,0,0,0,0,11,0,2,2998,0,3028
EURO 3,0,0,0,0,0,0,0,0,1526,0,57,0,27,0,0,0,0,0,0,0,0,1,0,0,0,7,0,0,757,7,2382
EURO 4,0,0,0,0,0,0,0,0,16,0,18,0,18,0,0,0,0,0,0,0,0,0,0,0,0,114,0,121,63,6,356
Not Applicable,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,4
Not Available,1,20,1,19,1100,114,1,2,19972,33,54,4,0,705,2,17,5,927,1,1,845,0,0,36,7,3318,82,1003,10481,1371,40122
Total,1,20,1,19,1100,192,1,2,21680,33,141,4,1375,705,587,20,5,928,1,2,847,2,25,37,7,3999,82,1158,15315,1530,49819
