Norms,AS,BR,CG,CH,DD,DL,GA,GJ,HP,HR,JH,JK,KA,KL,MH,MN,MP,OR,PB,PY,RJ,TN,TR,UK,UP,WB,Total
BHARAT STAGE I,11,0,1,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,2,112,0,146
BHARAT STAGE II,5,0,12,0,0,1,0,8,0,30,1,0,0,1,2,0,0,0,0,2,2,0,0,0,346,0,410
BHARAT STAGE III,67,0,305,0,0,72,0,0,0,792,44,0,173,5,12,0,2,105,0,0,106,0,0,27,90,88,1888
BHARAT STAGE III/IV,16,1,0,0,0,35,0,0,0,25,24,0,0,1,1,0,0,0,0,0,2,0,0,1,0,0,106
BHARAT STAGE IV,13,3,257,0,0,23,0,0,0,1538,6,0,529,5,10,0,0,102,0,0,36,0,0,0,41,1,2564
Bharat Trem Stage III,1,0,0,0,0,47,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,347,0,397
Bharat Trem Stage III A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,163,0,163
Bharat Trem Stage III B,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5
EURO 1,1,1,0,0,0,0,0,1,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,1,590,0,629
EURO 2,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,5,0,0,0,1934,0,1952
EURO 3,0,0,4,0,0,0,0,21,0,15,0,0,0,0,0,0,0,0,0,0,49,0,0,1,3552,0,3642
EURO 4,0,0,0,0,0,1,0,44,0,13,0,0,0,0,0,0,0,0,0,0,2,0,0,0,970,0,1030
Not Applicable,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
Not Available,3712,3589,366,23,1,17671,38,99,15,0,1276,1,6,67,914,5,1407,5,137,7,3743,109,2,4190,32502,4363,74248
TREM STAGE IV,0,0,0,0,0,0,0,0,0,6,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,9
TREM STAGE V,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Total,3831,3594,945,23,1,17850,38,173,15,2487,1352,1,708,79,943,5,1409,212,137,9,3945,109,2,4223,40648,4452,87191
