Norms,AN,AP,AR,AS,BR,CG,CH,DD,DL,GA,GJ,HP,HR,JH,JK,KA,KL,LD,MH,ML,MN,MP,MZ,NL,OR,PB,PY,RJ,TN,TR,UK,UP,WB,Total
BHARAT STAGE I,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
BHARAT STAGE III,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
BHARAT STAGE III/IV,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,5
BHARAT STAGE IV,0,0,0,3,21,0,0,0,1,0,3,0,2971,0,0,4325,41,0,1,0,0,3,0,0,0,1,1,2,1,0,8,4,1,7387
BHARAT STAGE VI,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,2,0,0,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,14
Bharat Trem Stage III A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
Bharat Stage III CEV,0,0,0,2,0,0,0,0,0,0,16,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,22
EURO 3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
EURO 4,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
Not Available,36,1643,4,8344,12425,1490,369,24,12376,82,1103,180,2,1515,74,5360,1329,7,7124,3,102,3358,1,11,903,825,88,5599,5696,3419,2384,31252,10078,117206
TREM STAGE IV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2
Total,36,1643,4,8357,12446,1490,369,24,12377,82,1123,181,2980,1516,74,9688,1370,7,7130,3,102,3361,1,11,903,833,89,5605,5697,3419,2392,31256,10079,124648
