Norms,AN,AP,AR,AS,BR,CG,CH,DD,DL,GA,GJ,HP,HR,JH,JK,KA,KL,LA,LD,MH,ML,MN,MP,MZ,NL,OR,PB,PY,RJ,SK,TN,TR,UK,UP,WB,Total
BHARAT STAGE I,0,0,2,120,102,917,57,0,41,59,5948,1976,25789,175,51,3238,36,1,0,1817,162,1,1557,3,10,141,509,51,7245,61,94,0,37,5569,303,56072
BHARAT STAGE II,0,4692,11,384,2011,97672,366,0,236,89,20867,2190,10972,1368,1133,3960,146,0,0,3739,34,24,4798,3469,47,1665,476,1239,29397,380,224,7,1766,545234,48487,787083
BHARAT STAGE III,100,623840,605,11297,398278,81164,24528,37,292540,75053,9550,44305,456429,299736,51009,1270622,1969,8,4,65180,491,287,834320,10799,820,420703,5028,60334,690259,2920,2900,69,88253,104490,223929,6151856
BHARAT STAGE III/IV,0,0,58,103,719,0,1,1,1,1,90,8,455,33,8,40,19,0,0,450,6,75,0,0,8,11,208,0,74,156,81,2,8,67,49,2732
BHARAT STAGE IV,46,117287,225,1308,98004,41363,23193,22,146349,83,2704,34476,36073,374,49742,91507,2987,25,0,10037,782,1334,312,226,362,446,25501,254,67664,3766,1067,41,10597,38055,40558,846770
BHARAT STAGE IV/VI,0,0,2,7,6,0,0,0,0,0,3,0,0,1,3,0,2,0,0,6,0,4,0,0,0,0,5,0,12,4,1,0,0,12,0,68
BHARAT STAGE VI,0,4,29,79,26,2,0,0,2,0,21,7,12,4,117,2,13,0,1,106,5,31,28,0,1,1,43,0,269,2,25,2,1,136,22,991
Bharat Trem Stage III,5,1,2,28,67,4,2,0,4,0,90,6,219,32,6,17,35,0,0,430,35,2,10122,1,13,44,129,1,294,13,44,1,9,3980,429,16065
Bharat Trem Stage III A,0,9,2,91,145,19,0,0,0,0,2836,4,26,80,4,108,8,0,0,3965,1,1,51120,0,8,15,95,0,1095,0,30,1,62,60963,72,120760
Bharat Trem Stage III B,0,0,0,0,0,1,0,0,0,0,8,0,0,0,0,1,0,0,0,9,1,0,0,1,0,252,5,0,0,0,3,0,0,8,3,292
Bharat Stage III CEV,1,2,6,58,9,6,0,1,0,0,202,2,8,40,1,14,2,0,0,262,3,0,50,0,16,6,20,0,27,1,17,4,1,15,29,803
CEV STAGE IV,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,9,0,0,0,0,0,0,0,0,0,1,0,0,0,1,4,20
EURO 1,0,0,0,6,50,131,7,3,14,6,54882,1630,2366,11,3,25,17,1,0,45,21,3,20,0,2,12,149,1506,582,21,8,0,55,125940,255,187771
EURO 2,1,4,2,52,582,2031,30,9,5291,11,41866,428,1339,60,2,63,132,1,0,251,7,9,142,1,17,48,434,592,40377,23,33,3,1820,840804,1510,937975
EURO 3,1,13,20,136,263,10902,312,44,32845,23,708868,3794,40884,91,10,546,750,1,0,561,34,55,158,1101,192,113,2591,37,90218,42,113,19,62108,116741,14280,1087866
EURO 4,3,11,19,98,249,54,3350,27,6976,36,167004,953,51943,94,251,823,852,7,0,261,193,371,108,8,137,134,3779,60,18091,23,124,10,19744,30139,73891,379823
EURO 6,1,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6
EURO 6A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2
EURO 6D,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,3
Not Applicable,0,1,0,0,0,1,0,0,0,0,1,0,0,4,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,25
Not Available,8283,16792,11477,202441,4161,129957,222,15155,241,318,416674,521,70,404,138,3007,969218,2202,1105,1957805,24417,26659,6651,34,23115,7675,798482,1807,155046,2264,1885450,29725,2110,38459,223107,6965192
TREM STAGE IV,0,0,0,1,9,0,0,0,1,2,20,5,44,0,3,2,12,0,0,20,1,0,0,0,1,7,50,0,4,20,12,0,1,41,78,334
TREM STAGE V,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,8
Total,8441,762657,12461,216210,504682,364224,52068,15299,484541,75681,1431639,90305,626629,302507,102481,1373993,976200,2246,1110,2044954,26194,28856,909386,15643,24749,431274,837505,65881,1100656,9697,1890230,29884,186572,1910655,627007,17542517
