Vehicle Category Group,AHMEDABAD,AHMEDABAD EAST,AKLUJ,ALANGULAM UO,ALIPURDUAR RTO,AMBASAMUTHIRAM UO,AMBEJOGAI,AMRAWATI,ANAND,ANGAMALI SRTO,ANUPPUR DTO,ARIYALUR RTO,ASHOKNAGAR DTO,ATHANI ARTO,AVINASHI UO,Agra RTO,Ambikapur RTO,Anakapalli RTA,BADWANI DTO,BAGALKOT RTO,BAIKUNTHPUR DTO,BANASKANTHA,BANDIPORA ARTO,BANSWARA DTO,BARAMATI,BARASAT RTO,BARDOLI,BAREILLY,BARGARH RTO,BEGUSARAI,BENGALURU CENTRAL RTO,BENGALURU EAST RTO,BENGALURU NORTH RTO,BENGALURU SOUTH RTO,BENGALURU WEST RTO,BETTIAH,BHADRAK RTO,BHAGALPUR,BHANDARA,BHARUCH,BHAVANI UO,BHAVNAGAR,BHILWARA DTO,BHIWARI DTO,BHOPAL RTO,BHUBANESWAR RTO,BICHOLIM RTO,BIKANER RTO,BIRBHUM RTO,BOKARO,BOLANGIR RTO,BULDHANA,BURARI TAXI UNIT,Bahraich,Barabanki ARTO,Bhadohi(SANT RAVIDAS NAGAR),Bilaspur RTO,CHANDAPURA BENGALURU RTO,CHANDIGARH UT (RLA AND STA),CHANGANACHERRY SRTO,CHENGALPATTU RTO,CHENNAI (CENTRAL RTO,CHENNAI (NORTH RTO,CHENNAI (NORTH-EAST RTO,CHENNAI (SOUTH RTO,CHENNAI (SOUTH-EAST RTO,CHENNAI (SOUTH-WEST RTO,CHENNAI (WEST RTO,CHHATRAPATI SAMBHAJINAGAR,CHICKABALLAPUR RTO,CHIDAMBARAM RTO,CHIKAMANGLUR RTO,CHITRADURGA RTO,CHITTORGARH RTO,COIMBATORE (CENTRAL RTO,COIMBATORE (NORTH RTO,COIMBATORE (SOUTH RTO,COIMBATORE (WEST RTO,CONTAI ARTO,COOCHBEHAR RTO,CUDDALORE RTO,CUTTACK RTO,DAHOD,DAKSHIN DINAJPUR RTO,DANDELI ARTO,DARBHANGA,DATIA DTO,DAVANAGERE RTO,DEHRADUN RTO,DEVANAHALLI ARTO,DHANBAD,DHARASHIV,DHARWAD EAST RTO,DHARWAD WEST RTO,DIDWANA DTO,DINDIGUL RTO,DUNGARPUR DTO,DURG RTO,DY REGIONAL TRANSPORT OFFICE HINGOLI,DY RTO RATNAGIRI,Dhamtari DTO,ELECTRONIC CITY RTO,ERNAKULAM RTO,ERODE RTO,Etah,Etawah,GADAG RTO,GANDHINAGAR,GANJAM RTO,GONDHIA,GOPICHETTIPALAYAM RTO,GUNA DTO,GURUVAYUR SRTO,GWALIOR RTO,Gajuwaka RTA,Gorakhpur RTO,Guntur RTA,HALDWANI RTO,HARDOI,HARIDWAR ARTO,HARUR UO,HASSAN RTO,HAVERI RTO,HISAR,HONNAVAR ARTO,HOSANGABAD DTO,HUNSUR ARTO,Hindupur RTA,ICHALKARANJI,IDUKKI RTO,INDORE RTO,IRINJALAKUDA SRTO,JABALPUR RTO,JAIPUR (FIRST RTO,JAIPUR (SECOND RTO,JALPAIGURI RTO,JAMKHANDI ARTO,JAMNAGAR,JAUNPUR,JHAJHAR,JNANABHARATHI RTO,JODHPUR RTO,JhansiRTO,K G F ARTO,KACHCHH,KALABURAGI RTO,KALYAN,KAMRUP,KAMRUP(RURAL),KANPUR NAGAR,KARAD,KARUNAGAPPALLY SRTO,KARUR RTO,KARWAR RTO,KASARGODE RTO,KAWARDHA DTO,KAYAMKULAM SRTO,KENDRAPARA RTO,KHEDA,KOHIMA RTO,KOILANDY SRTO,KOLAR RTO,KOLHAPUR,KOLLAM RTO,KONDOTTY SRTO,KOPPAL RTO,KOTA RTO,KOTPUTALI DTO,KOVILPATTI RTO,KOZHIKODE RTO,KRISHNARAJAPURAM RTO,KUMBAKONAM RTO,Korba DTO,Kovvuru UO,LAKHIMPUR KHERI,LALKUDI UO,LONI ROAD,Lalitpur,MADHUGIRI TUMAKURU ARTO,MADIKERI RTO,MADURAI (CENTRAL RTO,MADURAI (NORTH RTO,MADURAI (SOUTH RTO,MAHANAGAR ARTO LUCKNOW (UP321),MALAPPURAM RTO,MALDA RTO,MALEGAON,MALL ROAD,MANDYA RTO,MANGALORE RTO,MANNARGHAT SRTO,MANNARGUDI UO,MARGAO RTO,MAYILADUTHURAI RTO,MAYUR VIHAR,MEENAMBAKKAM RTO,MEERUT RTO,MEHSANA,METTUPALAYAM RTO,MINICOY,MORADABAD,MUMBAI (CENTRAL),MUMBAI (EAST),MUMBAI (WEST),MURSHIDABAD RTO,MUVATTUPUZHA RTO,MYSURU EAST RTO,MYSURU WEST RTO,Mainpuri,Mau,MuzaffarNagar,NADIA RTO,NAGAON,NAGAPATTINAM RTO,NAGAUR DTO,NAGPUR (EAST),NAGPUR (RURAL),NAGPUR (U),NAMAKKAL (NORTH RTO,NAMAKKAL (SOUTH RTO,NANDED,NARSINGHPUR DTO,NASHIK,NAVSARI,NEDUMANGADU SRTO,NELAMANGALA RTO,NEYYATTINKARA SRTO,NORTH PARUR SRTO,OMALURE UO,OTTAPPALAM SRTO,PADRAUNA(KUSHI NAGAR),PALAKKAD RTO,PALAMU,PALI RTO,PANCHMAHAL,PANVEL,PARAMAKUDI UO,PARAMATHI VELLURE UO,PARBHANI,PATHANAMTHITTA RTO,PATTAMBI SRTO,PEN (RAIGAD),PERAMBALUR RTO,PERUNDURAI RTO,POLLACHI RTO,PONDA RTO,PONNANI SRTO,POONAMALLEE RTO,PRATAPGARH DTO,PUDUCHERRY,PUNE,PURBA BURDWAN RTO,PURI RTO,PUTTUR RTO,PVD KOLKATA,Palakole UO,Punganur UO,QUEPEM RTO,R.T.O.BORIVALI,RAICHUR RTO,RAJKOT,RAJOURI GARDEN,RAJPUR ROAD/VIU BURARI,RAJSAMAND DTO,RAMANAGAR RTO,RAMANATHAPURAM RTO,RANCHI,RANIBENNUR ARTO,RANIPET RTO,REDHILLS RTO,REGIONAL TRANSPORT OFFICE BELAGAVI,REWA RTO,RLA DHARAMSHALA,RLA GHUMARVI,ROHINI,RTA Eluru,RTA GURGAON,RTA KARNAL,RTA MACHILIPATNAM,RTO AHEMEDNAGAR,RTO BARNALA,RTO BATHINDA,RTO CHANDRAPUR,RTO FARIDKOT,RTO FATEHGARH SAHIB,RTO FAZILKA,RTO FEROZPUR,RTO GURDASPUR,RTO HOSHIARPUR,RTO JALANDHAR,RTO JALGAON,RTO LATUR,RTO LUDHIANA,RTO MANSA,RTO MOGA,RTO PATIALA,RTO PIMPRI CHINCHWAD,RTO SANGRUR,RTO SATARA,RTO SBS NAGAR,RTO SOLAPUR,Raibareilly,Raigarh DTO,Raipur RTO,Rajnandgaon ARTO,SABARKANTHA,SAGAR ARTO,SAGAR RTO,SALEM (EAST RTO,SALEM (WEST RTO,SAMBA ARTO,SAMBALPUR RTO,SANGLI,SANKAGIRI RTO,SANKARANKOVIL RTO,SATHYAMANGALAM UO,SATNA ARTO,SDM AMBALA CANTONMENT,SDM BERI,SDM DHARAMKOT,SEONI ARTO,SHILLONG,SHIMOGA RTO,SHOLINGANALLUR RTO,SINDHUDURG(KUDAL),SIRKALI UO,SIRSI RTO,SIVAKASI RTO,SRI GANGANAGAR DTO,SRIRAMPUR,SRIVILLIPUTHUR RTO,SULUR UO,SUPAUL,SURAJMAL VIHAR,SURAT,Sant Kabir Nagar,Sitapur,TAMBARAM RTO,TAMLUK RTO,TARIKERE CHIKKAMAGALURU ARTO,TENKASI RTO,THALIPARAMBA SRTO,THANE,THANJAVUR RTO,THENI RTO,THIRUMANGALAM UO,THIRUR SRTO,THIRUVALLA SRTO,THOOTHUKUDI RTO,THRISSUR RTO,TINDIVANAM RTO,TIPTUR ARTO,TIRUCHENGODE RTO,TIRUCHI RTO,TIRUNELVELI RTO,TIRUPPUR (NORTH RTO,TIRUPPUR (SOUTH RTO,TIRUVANNAMALAI RTO,TIRUVARUR RTO,TIRUVERANBUR UO,TONK DTO,TRANSPORT NAGAR RTO LUCKNOW (UP32),TRIPUNITHURA SRTO,TRIVANDRUM RTO,TUMKUR RTO,UDAIPUR RTO,UDGIR,UDUMALPET RTO,UJJAIN RTO,ULUNDURPET RTO,UTHAMAPALAYAM UO,VADIPATTI UO,VADODARA,VALLIYUR UO,VARANASI RTO,VASAI,VASANT VIHAR,VASHI (NEW MUMBAI),VEDACHANDUR UO,VELLORE RTO,VIDISHA DTO,VIRUDHACHALAM UO,VIRUDHUNAGAR RTO,Vijayawada RTA,Vishakapatnam RTA,Vizianagaram RTA,Vuyyuru UO,WASHIM,WAZIRPUR,WEST TRIPURA JTC,YALAHANKA RTO,YAWATMAL,Total
Ambulance/Hearses,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Construction Equipment Vehicle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
Four Wheeler,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,1,19,37,24,52,7,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,5,0,0,0,0,11,1,0,0,1,2,1,4,0,0,1,0,0,0,0,1,0,0,0,0,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,34,1,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,0,0,0,0,10,0,1,0,0,1,0,0,2,0,1,0,0,0,0,0,1,8,0,0,0,0,0,1,1,0,0,0,0,0,0,3,0,4,0,0,5,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,12,0,0,1,1,0,0,2,2,0,0,6,0,0,1,0,0,0,0,0,2,0,1,0,0,0,1,1,0,1,0,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,4,0,1,0,1,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,2,2,0,0,1,0,0,1,1,3,0,0,0,21,3,0,1,0,0,0,0,0,0,0,0,4,0,3,0,381
Goods Vehicle,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,9,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,1,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57
Public Service Vehicle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Special Category Vehicles,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27
Three Wheeler,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,5,0,1,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,55
Tractor,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43
Trailer,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,8,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,1,0,0,0,0,2,8,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,6,0,0,0,1,0,0,0,0,0,0,0,0,0,137
