Vehicle Category Group,AP,AR,AS,BR,CG,CH,DD,DL,GA,GJ,HR,JH,JK,KA,KL,LD,MH,MP,OR,PB,PY,RJ,TN,UK,UP,WB,Total
Ambulance/Hearses,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bus,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,4
Construction Equipment Vehicle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
Four Wheeler,0,1,1,0,1,0,5,72,0,43,1,0,0,125,2,0,19,2,1,7,9,0,38,0,7,5,339
Goods Vehicle,0,0,0,1,0,0,0,0,0,1,1,0,0,2,0,0,0,0,1,0,0,0,5,0,0,0,11
Public Service Vehicle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Special Category Vehicles,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,7
Three Wheeler,1,0,1,1,1,0,0,0,0,3,1,0,5,15,1,0,0,0,0,3,0,2,6,0,5,1,46
Tractor,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,3,9,0,1,0,18
Trailer,3,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,55,0,0,0,62
Two Wheeler,619,0,1,14,113,1,7,652,5,329,14,24,0,855,319,1,700,687,323,48,146,58,1686,20,207,85,6914
Total,623,1,5,17,117,1,12,724,5,381,18,24,5,997,322,1,721,689,325,63,155,63,1800,20,220,93,7402
