Vehicle Category Group,AP,AR,AS,BR,CG,CH,DD,DL,GA,GJ,HP,HR,JH,JK,KA,KL,LD,MH,MP,MZ,NL,OR,PB,PY,RJ,SK,TN,UK,UP,WB,Total
Ambulance/Hearses,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
Construction Equipment Vehicle,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
Four Wheeler,0,0,2,4,0,0,0,34,1,4,0,2,0,0,122,9,0,17,1,1,1,2,9,14,1,2,43,0,2,3,274
Goods Vehicle,1,0,0,1,2,0,0,0,0,1,0,0,0,0,3,1,0,0,0,0,0,4,6,0,7,0,9,0,0,0,35
Public Service Vehicle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
Special Category Vehicles,0,0,0,0,0,0,1,0,0,6,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,11
Three Wheeler,0,0,1,0,0,0,0,0,0,2,0,1,0,5,40,2,0,2,0,0,0,0,1,0,0,0,5,0,3,2,64
Tractor,0,0,0,4,1,0,0,0,0,1,0,1,1,0,0,2,0,0,0,0,0,0,2,0,2,0,10,0,9,0,33
Trailer,25,0,1,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,0,0,0,127
Two Wheeler,228,1,2,33,169,3,2,580,23,224,2,2,3,0,458,157,1,593,179,1,0,67,55,65,72,0,720,15,298,114,4067
Total,254,1,6,77,172,3,3,614,24,241,2,7,4,5,624,171,1,615,180,2,1,73,75,79,82,2,853,15,312,119,4617
