Vehicle Category Group,AP,AS,BR,CG,DD,DL,GA,GJ,HP,HR,JH,JK,KA,KL,LD,MH,MN,MP,OR,PB,PY,RJ,SK,TN,UK,UP,WB,Total
Ambulance/Hearses,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bus,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,3
Construction Equipment Vehicle,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,5
Four Wheeler,2,0,1,4,2,38,0,9,0,2,1,7,423,39,1,25,0,1,1,7,12,8,2,44,1,0,1,631
Goods Vehicle,0,0,1,0,0,0,0,2,1,1,0,1,4,2,0,0,0,0,3,3,0,7,0,10,0,0,0,35
Public Service Vehicle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Special Category Vehicles,0,0,0,0,1,0,0,17,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,23
Three Wheeler,1,0,2,0,0,0,0,3,0,1,0,1,47,4,0,3,5,0,1,0,1,0,0,0,0,2,2,73
Tractor,0,0,2,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,5,5,0,4,0,14,0,4,0,39
Trailer,19,0,118,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114,0,0,0,253
Two Wheeler,58,2,32,266,4,703,29,465,1,8,6,1,554,81,9,967,0,311,92,528,27,323,0,515,28,619,266,5895
Total,81,2,156,270,7,741,29,502,2,14,7,10,1028,126,10,999,5,313,102,544,40,342,2,702,29,625,269,6957
