Vehicle Category Group,AP,AR,AS,BR,CG,CH,DD,DL,GA,GJ,HP,HR,JH,JK,KA,KL,LD,MH,ML,MP,MZ,OR,PB,PY,RJ,SK,TN,UK,UP,WB,Total
Ambulance/Hearses,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Bus,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,3
Construction Equipment Vehicle,0,0,0,0,0,0,0,0,0,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,13
Four Wheeler,2,0,0,2,5,0,0,17,1,9,1,1,2,0,269,14,0,9,1,1,1,2,7,1,5,3,64,0,4,4,425
Goods Vehicle,0,0,1,0,1,0,0,0,0,2,1,0,0,0,3,3,0,3,0,0,0,0,3,0,8,0,9,0,1,8,43
Public Service Vehicle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
Special Category Vehicles,0,0,0,0,0,0,1,0,0,13,0,2,0,0,0,0,0,3,0,0,0,23,0,0,0,0,0,0,1,0,43
Three Wheeler,0,0,0,1,0,0,0,0,1,7,0,0,1,0,27,1,0,1,0,0,0,5,0,0,0,0,0,0,0,1,45
Tractor,0,0,0,1,0,0,0,0,0,2,0,0,1,0,2,0,0,1,0,0,1,0,3,0,1,0,9,0,8,6,35
Trailer,0,0,1,2,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,145,0,0,0,151
Two Wheeler,17,1,2,14,177,2,0,352,29,389,1,17,10,5,803,86,1,494,0,160,0,91,603,46,337,0,442,48,379,222,4728
Total,19,1,4,20,184,2,1,369,31,434,3,21,15,5,1104,104,1,511,1,161,2,121,617,47,352,3,671,48,393,243,5488
