Vehicle Category Group,AP,AS,BR,CG,CH,DL,GA,GJ,HP,HR,JH,JK,KA,KL,LD,MH,ML,MP,NL,OR,PB,PY,RJ,TN,TR,UK,UP,WB,Total
Ambulance/Hearses,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bus,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Construction Equipment Vehicle,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,4
Four Wheeler,0,1,1,1,1,45,3,7,1,3,0,0,228,8,0,40,0,1,0,0,4,1,1,32,0,0,0,3,381
Goods Vehicle,0,0,1,0,0,3,0,5,0,0,0,1,3,0,0,10,3,0,1,1,1,0,9,16,0,0,0,3,57
Public Service Vehicle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Special Category Vehicles,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,27
Three Wheeler,0,0,1,1,0,0,0,5,0,0,1,0,38,1,0,1,0,0,0,4,0,0,0,2,0,0,0,1,55
Tractor,0,0,2,0,0,0,0,8,0,2,0,0,2,0,0,2,0,0,0,0,1,0,3,9,0,0,7,7,43
Trailer,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,134,0,0,0,0,137
Two Wheeler,17,1,9,76,0,67,16,57,1,1,15,3,277,54,0,516,0,50,0,97,172,24,157,171,1,25,195,18,2020
Total,19,3,14,79,1,115,19,108,2,6,16,4,548,63,0,571,3,51,3,102,178,25,171,364,1,25,202,32,2725
