Vehicle Category Group,AP,AS,BR,CG,DL,GA,GJ,HP,HR,JH,JK,KA,KL,LD,MH,ML,MP,OR,PB,PY,RJ,SK,TN,UK,UP,WB,Total
Ambulance/Hearses,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bus,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3
Construction Equipment Vehicle,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3
Four Wheeler,5,0,1,2,22,1,3,1,4,1,3,362,5,0,47,1,0,2,2,1,3,1,17,0,0,2,486
Goods Vehicle,0,2,0,0,1,0,0,0,0,0,1,2,0,0,8,0,0,1,0,0,3,0,9,0,3,0,30
Public Service Vehicle,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3
Special Category Vehicles,0,0,0,0,0,0,31,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,33
Three Wheeler,0,0,1,0,0,0,1,0,0,1,0,11,1,0,0,0,0,2,0,0,1,0,1,0,0,0,19
Tractor,0,0,2,3,0,0,3,0,2,0,0,2,0,0,1,0,0,1,2,0,0,0,10,0,6,0,32
Trailer,0,2,1,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,87,0,0,0,93
Two Wheeler,7,0,6,118,23,8,37,0,2,2,0,226,16,0,844,0,40,45,27,3,82,0,51,9,134,0,1680
Total,12,4,11,123,46,9,78,1,9,4,4,607,22,0,904,1,40,51,31,4,89,1,177,9,143,2,2382
