Vehicle Category Group,AP,AS,BR,CG,CH,DD,DL,GA,GJ,HP,HR,JH,JK,KA,KL,LD,MH,MP,NL,OR,PB,PY,RJ,SK,TN,UK,UP,WB,Total
Ambulance/Hearses,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bus,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
Construction Equipment Vehicle,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Four Wheeler,0,1,3,3,2,1,52,0,1,0,2,0,1,513,12,0,109,2,1,4,4,1,2,1,25,1,1,18,760
Goods Vehicle,0,0,0,0,0,0,2,0,0,0,2,0,0,2,0,0,1,0,0,3,1,0,1,0,3,0,4,2,21
Public Service Vehicle,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Special Category Vehicles,0,0,0,0,0,1,0,0,21,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,24
Three Wheeler,0,0,64,0,0,0,3488,0,5,0,38,191,0,39,1,0,2,19,0,7,2,0,625,0,0,1,924,10,5416
Tractor,0,1,0,2,0,0,0,0,2,0,5,0,0,1,0,0,0,0,0,0,2,0,0,0,2,0,0,0,15
Trailer,0,18,1,0,0,0,0,0,4,0,0,0,0,23,0,0,1,0,0,0,0,0,0,0,40,0,0,0,87
Two Wheeler,9,3,1,80,0,0,22,4,43,3,8,3,3,107,13,0,885,40,0,33,9,10,46,0,12,13,87,0,1434
Total,9,23,69,88,2,2,3564,4,78,5,55,194,4,686,26,0,999,61,1,47,18,11,674,1,82,15,1016,30,7764
