Vehicle Category Group,AN,AP,AR,AS,BR,CG,CH,DD,DL,GA,GJ,HP,HR,JH,KA,KL,LD,MH,ML,MN,MP,MZ,OR,PB,PY,RJ,TN,UK,UP,WB,Total
Ambulance/Hearses,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Bus,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,6
Construction Equipment Vehicle,0,0,0,1,0,83,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,86
Four Wheeler,0,6,0,0,1,2,0,0,72,5,6,0,8,0,421,12,0,110,1,1,3,0,0,0,0,3,17,0,0,16,684
Goods Vehicle,0,0,0,2,1,24,0,0,12,0,2,0,2,1,1,0,0,2,0,0,0,1,0,0,0,2,2,0,4,2,58
Public Service Vehicle,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,6
Special Category Vehicles,0,0,0,0,0,1,0,2,0,0,48,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,70
Three Wheeler,0,0,0,1,1097,11,0,0,21578,1,30,0,1268,674,61,0,0,1,0,1,351,0,2,24,2,3932,2,1125,15243,1491,46895
Tractor,0,0,0,0,0,3,0,0,0,0,1,0,16,0,0,0,0,2,0,0,0,0,0,2,0,4,1,0,2,2,33
Trailer,0,0,0,10,0,0,0,0,0,0,2,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,93
Two Wheeler,1,13,1,5,1,68,1,0,18,27,49,4,80,30,73,8,0,809,0,0,44,1,23,11,5,57,10,33,66,0,1438
Total,1,21,1,19,1100,192,1,2,21680,33,141,4,1375,705,587,20,0,932,1,2,398,2,25,37,7,3999,82,1158,15315,1530,49370
