Vehicle Category Group,AS,BR,CG,CH,DD,DL,GA,GJ,HP,HR,JH,JK,KA,KL,MH,MN,MP,OR,PB,PY,RJ,TN,TR,UK,UP,WB,Total
Ambulance/Hearses,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bus,0,0,0,0,0,0,1,0,3,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,16
Construction Equipment Vehicle,0,0,168,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,171
Four Wheeler,127,0,5,13,0,137,12,10,12,10,0,0,466,60,180,0,12,7,3,3,8,26,2,0,1,18,1112
Goods Vehicle,2,0,505,0,0,11,0,1,0,2,0,0,2,1,7,0,0,0,1,2,0,2,0,1,0,0,537
Public Service Vehicle,0,0,0,0,0,0,1,0,3,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,16
Special Category Vehicles,0,0,1,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40
Three Wheeler,3338,3576,195,9,0,17633,3,101,0,2236,1327,0,157,13,394,1,1118,107,93,1,3863,1,0,4193,40341,4434,83134
Tractor,3,2,4,0,0,0,0,0,0,7,0,1,0,0,1,0,1,4,0,0,2,1,0,0,0,0,26
Trailer,356,1,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,5,0,0,0,47,0,0,0,0,427
Two Wheeler,5,15,54,1,1,69,22,20,0,232,25,0,65,5,349,4,92,88,40,3,72,31,0,29,306,0,1528
Total,3831,3594,932,23,1,17850,39,173,18,2487,1352,1,708,79,955,5,1223,212,137,9,3945,108,2,4223,40648,4452,87007
