Vehicle Category Group,AN,AP,AR,AS,BR,CG,CH,DD,DL,GA,GJ,HP,HR,JH,JK,KA,KL,MH,ML,MN,MP,OR,PB,PY,RJ,TN,TR,UK,UP,WB,Total
Ambulance/Hearses,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bus,0,2,0,0,0,0,0,0,0,0,0,29,2,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,1,5,49
Construction Equipment Vehicle,0,0,0,0,0,115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,117
Four Wheeler,20,64,0,0,1,8,4,0,408,17,9,32,32,20,0,644,82,184,0,0,21,6,5,2,15,51,0,1,13,19,1658
Goods Vehicle,0,0,0,0,1,539,0,0,0,2,0,0,86,0,0,2,1,9,0,1,1,0,1,0,1,0,0,0,12,0,656
Public Service Vehicle,0,0,0,0,0,0,0,0,0,0,0,29,2,0,0,0,5,6,0,0,0,0,0,0,0,0,0,0,1,5,48
Special Category Vehicles,0,0,0,0,0,3,0,0,0,2,19,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,26
Three Wheeler,0,28,0,7328,7871,654,168,17,20238,0,173,0,3076,1600,0,192,38,1299,0,37,1843,344,68,2,3149,1,1,4811,50410,6688,110036
Tractor,0,1,0,0,0,3,0,0,0,0,0,0,1,0,0,2,0,0,0,0,2,0,1,0,5,1,0,0,0,0,16
Trailer,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,23,0,1,0,0,0,88,0,0,0,21,0,0,0,1,138
Two Wheeler,0,1077,1,69,591,501,41,1,256,4,299,1,1429,336,90,1396,162,3133,2,1,569,918,289,83,1505,1264,31,255,2762,15,17081
Total,20,1172,1,7398,8465,1823,213,19,20902,25,500,91,4628,1957,90,2259,293,4637,2,39,2436,1358,364,87,4676,1338,32,5067,53200,6733,129825
