Vehicle Category Group,AN,AP,AR,AS,BR,CG,CH,DD,DL,GA,GJ,HP,HR,JH,JK,KA,KL,LD,MH,ML,MN,MP,MZ,NL,OR,PB,PY,RJ,TN,TR,UK,UP,WB,Total
Ambulance/Hearses,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bus,0,0,0,0,0,0,0,4,0,0,8,0,2,0,0,0,0,0,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88
Construction Equipment Vehicle,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Four Wheeler,35,60,3,7,22,7,35,2,885,25,229,3,96,37,0,698,425,6,929,0,0,28,0,0,20,10,1,116,282,0,14,135,101,4211
Goods Vehicle,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,5,0,11
Public Service Vehicle,0,0,0,0,0,0,0,4,0,0,8,0,2,0,0,0,0,0,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88
Special Category Vehicles,0,0,0,0,0,0,0,1,0,0,17,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21
Three Wheeler,0,136,0,8310,12040,872,322,7,10327,2,338,155,2607,1184,0,305,594,0,1057,0,95,2102,0,0,273,693,2,3521,2,3412,2200,29922,9881,90359
Tractor,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3
Trailer,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Two Wheeler,1,925,1,40,384,609,12,10,1165,55,530,22,274,293,74,8683,351,0,5065,3,7,929,1,11,610,128,86,1968,5413,7,178,1194,97,29126
Total,36,1121,4,8357,12446,1490,369,28,12377,82,1131,181,2982,1516,74,9688,1370,6,7204,3,102,3059,1,11,903,833,89,5605,5697,3419,2392,31256,10079,123911
