Vehicle Category Group,AN,AP,AR,AS,BR,CG,CH,DD,DL,GA,GJ,HP,HR,JH,JK,KA,KL,LA,LD,MH,ML,MN,MP,MZ,NL,OR,PB,PY,RJ,TN,TR,UK,UP,WB,Total
Ambulance/Hearses,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bus,40,0,0,0,26,0,40,6,31,35,217,0,0,0,0,27,0,0,0,552,0,0,0,0,0,0,0,0,0,0,0,10,191,1,1176
Construction Equipment Vehicle,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
Four Wheeler,22,393,0,7,61,70,108,3,1956,188,846,12,60,47,5,1478,1665,0,0,3746,3,0,194,0,0,59,36,9,561,945,5,122,79,334,13014
Goods Vehicle,0,1,0,0,1,0,0,0,19,10,0,0,1,2,0,32,0,0,0,1,0,0,0,0,0,0,1,0,12,883,1,0,23,0,987
Public Service Vehicle,40,0,0,0,26,0,40,6,31,35,217,0,0,0,0,27,0,0,0,552,0,0,0,0,0,0,0,0,0,0,0,10,191,1,1176
Special Category Vehicles,0,0,0,0,0,0,0,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61
Three Wheeler,30,459,0,15248,20207,1514,385,0,16245,14,753,11,4805,2019,11,2140,1185,0,0,1938,2,94,4326,0,0,623,1335,3,8931,4270,2423,3980,60106,5158,158215
Tractor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,4
Trailer,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Two Wheeler,0,7897,2,377,2789,2632,198,20,7555,848,7884,304,3792,1672,1131,29621,5882,6,0,23679,0,20,5104,1,2,4944,3273,393,13956,23935,3,1210,6284,915,156329
Total,132,8757,2,15632,23110,4216,771,35,25837,1130,9979,327,8658,3740,1147,33325,8732,6,0,30468,5,114,9624,1,2,5626,4648,405,23460,30033,2432,5332,66875,6409,330970
