Vehicle Category Group,AN,AP,AR,AS,BR,CG,CH,DD,DL,GA,GJ,HP,HR,JH,JK,KA,KL,LA,LD,MH,ML,MN,MP,MZ,NL,OR,PB,PY,RJ,SK,TN,TR,UK,UP,WB,Total
Ambulance/Hearses,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bus,0,50,0,70,3,84,0,0,1036,55,331,0,25,19,50,1054,71,0,0,919,0,0,138,0,0,159,13,0,16,2,53,0,14,40,108,4310
Construction Equipment Vehicle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
Four Wheeler,33,5079,81,694,1228,2517,2278,216,11514,1499,10860,627,8692,892,432,20422,14680,2,0,23982,73,100,3531,16,35,3171,4150,368,7983,16,11798,48,986,16005,4335,158343
Goods Vehicle,2,63,0,118,87,62,81,2,602,38,189,42,111,47,6,475,183,0,0,1319,217,0,182,0,1,165,62,11,333,0,914,54,2,681,168,6217
Public Service Vehicle,1,10,0,70,0,0,0,0,1036,55,329,0,21,0,50,846,71,0,0,966,0,0,122,0,0,120,22,0,18,0,88,0,12,17,27,3881
Special Category Vehicles,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22
Three Wheeler,0,3577,3,63144,89684,13725,2931,13,40599,51,3883,151,19816,15003,9878,8147,5092,0,1,14414,333,269,31686,0,2,6216,23058,313,26079,0,7928,9107,10973,266066,19129,691271
Tractor,0,0,0,0,0,0,0,0,0,5,0,0,1,0,0,0,0,0,0,7,0,0,0,0,0,0,1,0,1,0,0,0,1,4,0,20
Trailer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Two Wheeler,46,48760,15,4396,22145,33172,1780,261,31545,10107,65082,1286,19160,10337,3000,155545,66870,18,2,210192,209,76,65917,558,7,56301,19858,4048,76813,1,114764,415,8249,95630,22905,1149470
Total,82,57539,99,68492,113147,49560,7070,492,86332,11810,80675,2106,47826,26298,13416,186490,86967,20,3,251825,832,445,101576,574,45,66132,47164,4740,111243,19,135545,9624,20237,378443,46672,2013540
