Vehicle Class,AHMEDABAD,AKLUJ,ALWAR RTO,AMBEJOGAI,AMRAWATI,ANGAMALI SRTO,ANGUL RTO,ARANTHANGI UO,ARAVAKURICHI UO,ARTO BARBIL,ARUPPUKOTTAI UO,ATTINGAL RTO,AURAIYA,AVINASHI UO,Agra RTO,Ambikapur RTO,Anantapur RTA,BADWANI DTO,BAGALKOT RTO,BAIKUNTHPUR DTO,BANDIPORA ARTO,BANSWARA DTO,BARAMATI,BARDOLI,BARGARH RTO,BASKA,BEED,BEGUSARAI,BENGALURU CENTRAL RTO,BENGALURU EAST RTO,BENGALURU NORTH RTO,BENGALURU SOUTH RTO,BENGALURU WEST RTO,BETTIAH,BETUL DTO,BHADGAON,BHADRAK RTO,BHAGALPUR,BHANDARA,BHARATPUR RTO,BHARUCH,BHAVANI UO,BHAVNAGAR,BHILWARA DTO,BHOPAL RTO,BHUBANESWAR RTO,BIJAPUR RTO,BULDHANA,Bahraich,Balod DTO,Baloda Bazar DTO,Barabanki ARTO,Bhadohi(SANT RAVIDAS NAGAR),Bilaspur RTO,CHALAKKUDY SRTO,CHANDAPURA BENGALURU RTO,CHANDIKHOLE RTO,CHANGANACHERRY SRTO,CHAPARA,CHENNAI (CENTRAL RTO,CHENNAI (EAST RTO,CHENNAI (NORTH-EAST RTO,CHENNAI (SOUTH RTO,CHENNAI (SOUTH-EAST RTO,CHENNAI (SOUTH-WEST RTO,CHHATRAPATI SAMBHAJINAGAR,CHHOTAUDAIPUR,CHIDAMBARAM RTO,CHIKAMANGLUR RTO,CHIKKODI RTO,CHITRADURGA RTO,CHITTORGARH RTO,COIMBATORE (CENTRAL RTO,COIMBATORE (NORTH RTO,COIMBATORE (SOUTH RTO,CUDDALORE RTO,CUTTACK RTO,Chandauli,Cuddapah RTA,DAMOH DTO,DARBHANGA,DAVANAGERE RTO,DEHRADUN RTO,DEVANAHALLI ARTO,DEVIKULAM SRTO,DHANBAD,DHAR ARTO,DHARASHIV,DHARWAD EAST RTO,DHARWAD WEST RTO,DINDIGUL RTO,DTO OFFICE DUMKA,DURG RTO,DY REGIONAL TRANSPORT OFFICE HINGOLI,Dhamtari DTO,ELECTRONIC CITY RTO,ERNAKULAM RTO,ERODE RTO,Etawah,GADAG RTO,GANDHINAGAR,GANJAM RTO,GOKAK ARTO,GONDHIA,GOPALGANJ,GUMMIDIPOONDI UO,GUNA DTO,Gorakhpur RTO,Guntur RTA,HALDWANI RTO,HARUR UO,HARYANA HEAD OFFICE CHD,HASSAN RTO,HAVERI RTO,HISAR,HOSANGABAD DTO,HOSPET RTO,HUNSUR ARTO,Hapur,Hindupur RTA,I P ESTATE,ICHALKARANJI,INDORE RTO,JAIPUR (FIRST RTO,JAIPUR (SECOND RTO,JALANA,JAUNPUR,JHABUA DTO,JHARSUGUDA RTO,JNANABHARATHI RTO,Janjgir Champa DTO,Jashpur DTO,JhansiRTO,K G F ARTO,KACHCHH,KALABURAGI RTO,KALLAKURICHI RTO,KALYAN,KAMRUP,KANCHEEPURAM RTO,KANGEYAM UO,KANPUR NAGAR,KARUNAGAPPALLY SRTO,KARUR RTO,KASARGODE RTO,KAWARDHA DTO,KENDRAPARA RTO,KHANDWA ARTO,KHARGONE ARTO,KHEDA,KODUVALLY SRTO,KOLAR RTO,KOLHAPUR,KOTA RTO,KOTPUTALI DTO,KOTTARAKKARA SRTO,KOVILPATTI RTO,KRISHNAGIRI RTO,KRISHNARAJAPURAM RTO,KUMBAKONAM RTO,Korba DTO,LAKHIMPUR KHERI,Lalitpur,MADHUGIRI TUMAKURU ARTO,MADIKERI RTO,MADURAI (SOUTH RTO,MALEGAON,MALL ROAD,MANDYA RTO,MANGALORE RTO,MARGAO RTO,MARTHANDAM RTO,MAYILADUTHURAI RTO,MEENAMBAKKAM RTO,MEERUT RTO,MEHAM,MEHSANA,METTUPALAYAM RTO,MINICOY,MORADABAD,MORENA DTO,MOTIHARI,MUMBAI (CENTRAL),MUMBAI (EAST),MUMBAI (WEST),MUZAFFARPUR,MYSURU EAST RTO,MYSURU WEST RTO,Mahasamund DTO,Mungeli DTO,NAGAMANGALA RTO,NAGAPATTINAM RTO,NAGAUR DTO,NAGERCOIL RTO,NAGPUR (EAST),NAGPUR (RURAL),NAGPUR (U),NANDED,NANDURBAR,NARSINGHPUR DTO,NASHIK,NEDUMANGADU SRTO,NELAMANGALA RTO,NOHAR DTO,NORTH PARUR SRTO,Narasaraopet RTA,Noida,PALAI SRTO,PALAKKAD RTO,PALI RTO,PANCHMAHAL,PANVEL,PARAMAKUDI UO,PARBHANI,PEN (RAIGAD),PERNEM RTO,PERUNDURAI RTO,PONDA RTO,PUDUCHERRY,PUNE,PURI RTO,PVD KOLKATA,Prakasam RTA,QUEPEM RTO,R.T.O.BORIVALI,RAICHUR RTO,RAISEN DTO,RAJKOT,RAJOURI GARDEN,RAJPUR ROAD/VIU BURARI,RAJSAMAND DTO,RAMANATHAPURAM RTO,RANIBENNUR ARTO,REDHILLS RTO,REGIONAL TRANSPORT OFFICE BELAGAVI,REWA RTO,RLA BHORANJ,ROHINI,RTA GURGAON,RTO AHEMEDNAGAR,RTO BARNALA,RTO BATHINDA,RTO CHANDRAPUR,RTO CHENNAI (NORTH WEST),RTO FATEHGARH SAHIB,RTO FAZILKA,RTO GANGTOK,RTO GURDASPUR,RTO HOSHIARPUR,RTO JALANDHAR,RTO JALGAON,RTO KAPURTHALA,RTO LATUR,RTO LUDHIANA,RTO MANSA,RTO MOGA,RTO MUKTSAR SAHIB,RTO PATIALA,RTO PIMPRI CHINCHWAD,RTO SAHIBZADA AJIT SINGH NAGAR,RTO SANGRUR,RTO SATARA,RTO SOLAPUR,Raibareilly,Raigarh DTO,Raipur RTO,SABARKANTHA,SAGAR ARTO,SALEM (WEST RTO,SALTLAKE ARTO,SAMBALPUR RTO,SANGLI,SANKAGIRI RTO,SANKARANKOVIL RTO,SATHYAMANGALAM UO,SDM BERI,SDM GURUGRAM,SEHORE DTO,SHAJAPUR DTO,SHILLONG,SHIMOGA RTO,SHIVPURI DTO,SIKAR RTO,SINDHUDURG(KUDAL),SIRKALI UO,SIRSI RTO,SIVAKASI RTO,SRI GANGANAGAR DTO,SRINAGAR RTO,SRIRAMPUR,SUPAUL,SURAJMAL VIHAR,SURAT,SURENDRANAGAR,Sullurpet UO,TARIKERE CHIKKAMAGALURU ARTO,THANE,THANJAVUR RTO,THENI RTO,THIRUCHENDUR RTO,THOOTHUKUDI RTO,THRISSUR RTO,TIKAMGARH DTO,TIPTUR ARTO,TIRUCHENGODE RTO,TIRUCHI(EAST RTO,TIRUNELVELI RTO,TIRUPPUR (NORTH RTO,TIRUPPUR (SOUTH RTO,TIRUVANNAMALAI RTO,TIRUVARUR RTO,TIRUVERANBUR UO,TOSHAM,TRANSPORT NAGAR RTO LUCKNOW (UP32),TRIVANDRUM RTO,TUMKUR RTO,UDGIR,UJJAIN RTO,UZHAVOOR SRTO,VADAKARA RTO,VADIPATTI UO,VADODARA,VALLIYUR UO,VARANASI RTO,VARKALA SRTO,VASAI,VASANT VIHAR,VASCO RTO,VASHI (NEW MUMBAI),VEDACHANDUR UO,VELLORE RTO,VILLIANUR,VIRUDHUNAGAR RTO,Vishakapatnam RTA,WARDHA,WASHIM,WAZIRPUR,YALAHANKA RTO,YAWATMAL,Total
Agricultural Tractor,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28
Articulated Vehicle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
Bus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
Camper Van / Trailer (Private Use),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,12
Construction Equipment Vehicle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Crane Mounted Vehicle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Earth Moving Equipment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Fork Lift,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32
Goods Carrier,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27
M-Cycle/Scooter,15,11,1,30,124,1,0,0,0,0,0,1,1,2,6,2,0,2,1,10,0,3,6,0,1,0,1,0,0,1,2,1,3,0,1,1,1,0,5,1,0,2,2,8,5,0,2,7,11,1,2,0,5,63,1,0,1,1,1,0,0,1,0,1,0,51,0,0,1,0,4,19,1,2,1,0,0,0,0,1,1,3,5,0,2,2,1,17,3,2,0,0,3,7,0,0,2,1,4,1,1,0,0,3,2,0,1,2,0,4,0,0,2,4,1,1,0,0,1,1,10,4,1,3,3,0,13,1,1,1,6,2,4,0,0,1,0,8,0,1,0,36,1,0,1,1,2,2,4,1,1,1,7,4,0,0,0,0,40,7,10,7,0,4,2,0,1,0,2,2,5,1,0,0,6,0,2,0,2,0,1,1,24,3,1,1,6,27,0,1,2,0,6,0,12,2,24,80,0,5,16,0,0,0,0,1,1,1,1,2,0,5,0,15,1,1,1,1,3,44,3,0,1,0,1,27,1,1,0,0,26,0,3,0,3,6,0,2,0,64,0,0,15,1,0,1,0,1,1,1,1,1,5,0,0,0,1,0,53,0,1,8,60,9,2,15,7,0,0,0,1,13,0,0,2,0,0,1,0,0,0,2,0,12,0,3,0,6,0,3,0,10,4,0,2,0,13,0,1,0,0,0,1,2,0,1,3,9,4,0,0,1,1,17,1,12,1,1,1,1,0,1,1,1,0,48,0,1,1,0,0,0,0,2,0,1,1,3,14,1529
