Vehicle Class,AP,AR,AS,BR,CG,CH,DD,DL,GA,GJ,HR,JH,JK,KA,KL,LD,MH,MP,OR,PB,PY,RJ,TN,UK,UP,WB,Total
Adapted Vehicle,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Agricultural Tractor,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,3,8,0,1,0,17
Bus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Camper Van / Trailer (Private Use),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5
Earth Moving Equipment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
Fork Lift,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6
Goods Carrier,0,0,0,1,0,0,0,0,0,1,1,0,0,2,0,0,0,0,1,0,0,0,5,0,0,0,11
Harvester,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
M-Cycle/Scooter,619,0,1,14,62,1,6,516,5,317,12,15,0,772,319,10,639,610,135,18,89,56,1308,18,188,85,5815
M-Cycle/Scooter-With Side Car,0,0,0,0,0,0,0,9,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,19
Maxi Cab,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,4
Moped,0,0,0,0,51,0,1,126,0,12,2,9,0,73,0,0,61,77,188,30,57,0,378,2,19,0,1086
Motor Cab,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,3
Motor Car,0,0,1,0,0,0,5,72,0,42,1,0,0,125,2,0,19,2,0,6,9,0,35,0,7,3,329
Motor Cycle/Scooter-Used For Hire,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2
Omni Bus (Private Use),0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3
Three Wheeler (Goods),0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,6
Three Wheeler (Passenger),1,0,0,1,1,0,0,0,0,1,1,0,5,15,1,0,0,0,0,0,0,1,6,0,5,1,39
Three Wheeler (Personal),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
Tractor (Commercial),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
Trailer (Agricultural),0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0,49
Trailer (Commercial),3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,7
Trailer For Personal Use,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
Total,623,1,5,17,116,1,12,724,5,381,18,24,5,997,322,10,721,689,325,63,155,63,1800,20,220,91,7408
