Vehicle Class,AP,AR,AS,BR,CG,CH,DD,DL,GA,GJ,HP,HR,JH,JK,KA,KL,LD,MH,MP,MZ,NL,OR,PB,PY,RJ,SK,TN,UK,UP,WB,Total
Adapted Vehicle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Agricultural Tractor,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,2,0,0,0,0,0,0,2,0,2,0,10,0,9,0,28
Articulated Vehicle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,6
Bus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
Camper Van / Trailer (Private Use),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,19
Construction Equipment Vehicle,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
Crane Mounted Vehicle,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Earth Moving Equipment,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Fork Lift,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6
Goods Carrier,1,0,0,1,2,0,0,0,0,1,0,0,0,0,3,1,0,0,0,0,0,4,6,0,1,0,9,0,0,0,29
M-Cycle/Scooter,228,1,2,33,114,3,2,513,22,207,2,2,2,0,390,157,14,576,154,1,0,29,26,52,71,0,595,13,250,114,3573
M-Cycle/Scooter-With Side Car,0,0,0,0,0,0,0,3,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
Maxi Cab,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,3,0,0,0,7
Moped,0,0,0,0,55,0,0,64,0,17,0,0,1,0,61,0,0,17,25,0,0,38,29,13,0,0,125,2,48,0,495
Motor Cab,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,2,0,0,0,6
Motor Car,0,0,2,4,0,0,0,34,1,4,0,2,0,0,120,9,0,15,1,0,0,1,8,14,1,1,38,0,2,3,260
Motor Cycle/Scooter-Used For Hire,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2
Power Tiller (Commercial),0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Three Wheeler (Goods),0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,6
Three Wheeler (Passenger),0,0,1,0,0,0,0,0,0,1,0,1,0,5,38,0,0,0,0,0,0,0,0,0,0,0,5,0,3,2,56
Three Wheeler (Personal),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2
Tractor (Commercial),0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,8
Trailer (Agricultural),7,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,47
Trailer (Commercial),18,0,1,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,64
Vehicle Fitted With Rig,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2
Total,254,1,6,77,172,3,3,614,24,241,2,7,4,5,624,171,14,615,180,2,1,73,74,79,82,2,859,15,312,119,4635
