Vehicle Class,AP,AS,BR,CG,DD,DL,GA,GJ,HP,HR,JH,JK,KA,KL,LD,MH,MN,MP,OR,PB,PY,RJ,SK,TN,UK,UP,WB,Total
Adapted Vehicle,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Agricultural Tractor,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,5,0,4,0,14,0,4,0,32
Animal Ambulance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
Articulated Vehicle,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,0,1,0,0,0,7
Camper Van / Trailer (Private Use),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,49
Construction Equipment Vehicle,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Earth Moving Equipment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4
Fork Lift,0,0,0,0,1,0,0,17,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,20
Goods Carrier,0,0,1,0,0,0,0,2,1,1,0,1,3,2,0,0,0,0,3,3,0,2,0,9,0,0,0,28
M-Cycle/Scooter,58,2,32,235,4,693,29,421,1,8,5,1,463,80,15,845,0,248,56,195,25,322,0,450,28,567,262,5045
M-Cycle/Scooter-With Side Car,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,2,13
Maxi Cab,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,5
Mobile Workshop,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
Moped,0,0,0,31,0,10,0,44,0,0,1,0,80,0,0,122,0,63,36,333,2,0,0,65,0,52,2,841
Motor Cab,0,0,0,0,0,0,0,1,0,0,0,7,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,11
Motor Car,2,0,1,4,2,38,0,8,0,2,1,0,422,39,1,25,0,0,0,7,12,8,1,37,1,0,1,612
Motor Cycle/Scooter-SideCar(T),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Omni Bus,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Omni Bus (Private Use),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2
Three Wheeler (Goods),0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,1,0,0,0,0,0,0,0,0,7
Three Wheeler (Passenger),1,0,1,0,0,0,0,3,0,1,0,0,44,3,0,0,5,0,0,0,1,0,0,0,0,2,2,63
Three Wheeler (Personal),0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Tractor (Commercial),0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,2,0,0,0,9
Trailer (Agricultural),11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0,58
Trailer (Commercial),8,0,118,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,146
Vehicle Fitted With Generator,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Vehicle Fitted With Rig,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
e-Rickshaw(P),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Total,81,2,156,270,7,741,29,502,2,14,7,10,1028,126,16,999,5,312,102,545,40,342,2,703,29,625,269,6964
