Vehicle Class,AP,AR,AS,BR,CG,CH,DD,DL,GA,GJ,HP,HR,JH,JK,KA,KL,LD,MH,ML,MP,MZ,OR,PB,PY,RJ,SK,TN,UK,UP,WB,Total
Adapted Vehicle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,5
Agricultural Tractor,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,1,0,0,1,0,3,0,1,0,8,0,8,0,25
Ambulance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Articulated Vehicle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,7
Bus,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2
Camper Van / Trailer (Private Use),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,36
Construction Equipment Vehicle,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
Crane Mounted Vehicle,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Dumper,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Excavator (Commercial),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Excavator (NT),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Fork Lift,0,0,0,0,0,0,1,0,0,13,0,1,0,0,0,0,0,2,0,0,0,23,0,0,0,0,0,0,1,0,41
Goods Carrier,0,0,1,0,1,0,0,0,0,2,1,0,0,0,3,3,0,3,0,0,0,0,3,0,1,0,9,0,1,8,36
M-Cycle/Scooter,17,1,2,14,157,2,0,352,29,289,1,16,10,5,603,86,9,486,0,129,0,47,102,41,334,0,396,48,348,221,3745
M-Cycle/Scooter-With Side Car,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17
Maxi Cab,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2,0,0,0,0,8,0,0,1,13
Moped,0,0,0,0,20,0,0,0,0,100,0,1,0,0,180,0,0,7,0,31,0,44,501,5,2,0,46,0,30,1,968
Motor Cab,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4,0,1,0,9
Motor Car,2,0,0,1,5,0,0,17,1,8,1,1,1,0,268,13,0,9,1,1,1,0,7,1,5,2,52,0,3,3,403
Motor Cycle/Scooter-Used For Hire,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Omni Bus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
Three Wheeler (Goods),0,0,0,0,0,0,0,0,0,6,0,0,0,0,8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,15
Three Wheeler (Passenger),0,0,0,1,0,0,0,0,0,1,0,0,1,0,19,1,0,0,0,0,0,5,0,0,0,0,0,0,0,1,29
Three Wheeler (Personal),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Tractor (Commercial),0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,6,11
Trailer (Agricultural),0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,0,0,0,87
Trailer (Commercial),0,0,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,31
Vehicle Fitted With Rig,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Total,19,1,4,20,184,2,1,369,31,434,3,21,15,5,1104,104,9,511,1,161,2,121,617,47,352,3,674,48,393,243,5499
