Vehicle Class,AP,AS,BR,CG,CH,DL,GA,GJ,HP,HR,JH,JK,KA,KL,LD,MH,ML,MP,NL,OR,PB,PY,RJ,TN,TR,UK,UP,WB,Total
Adapted Vehicle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
Agricultural Tractor,0,0,0,0,0,0,0,8,0,2,0,0,2,0,0,2,0,0,0,0,1,0,3,8,0,0,7,0,33
Articulated Vehicle,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,11
Camper Van / Trailer (Private Use),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,20
Construction Equipment Vehicle,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2
Dumper,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Earth Moving Equipment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Fork Lift,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,27
Goods Carrier,0,0,1,0,0,3,0,5,0,0,0,1,1,0,0,10,3,0,1,1,1,0,0,16,0,0,0,3,46
M-Cycle/Scooter,17,1,7,71,0,63,16,44,1,1,15,3,172,54,4,505,0,48,0,56,16,24,156,147,1,25,185,18,1650
M-Cycle/Scooter-With Side Car,0,0,0,0,0,1,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
Maxi Cab,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,4,0,0,0,0,7
Moped,0,0,2,5,0,3,0,13,0,0,0,0,95,0,1,11,0,2,0,41,156,0,0,24,0,0,9,0,362
Motor Cab,0,0,1,0,0,5,0,0,0,2,0,0,2,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,13
Motor Car,0,1,0,0,1,40,2,7,1,1,0,0,226,8,0,37,0,1,0,0,3,1,1,27,0,0,0,3,360
Motor Cycle/Scooter-Used For Hire,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Omni Bus (Private Use),0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Three Wheeler (Goods),0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,8
Three Wheeler (Passenger),0,0,1,1,0,0,0,2,0,0,1,0,36,1,0,0,0,0,0,3,0,0,0,1,0,0,0,0,46
Three Wheeler (Personal),0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Tractor (Commercial),0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7,10
Trailer (Agricultural),2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,0,0,0,0,78
Trailer (Commercial),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,39
Total,19,3,14,78,1,115,19,108,2,6,16,4,548,63,5,571,3,51,3,102,178,25,171,364,1,25,202,32,2729
