Vehicle Class,AP,AS,BR,CG,DL,GA,GJ,HP,HR,JH,JK,KA,KL,LD,MH,ML,MP,OR,PB,PY,RJ,SK,TN,UK,UP,WB,Total
Agricultural Tractor,0,0,0,3,0,0,3,0,2,0,0,2,0,0,1,0,0,0,2,0,0,0,9,0,6,0,28
Articulated Vehicle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3
Bus,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3
Camper Van / Trailer (Private Use),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,12
Construction Equipment Vehicle,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Crane Mounted Vehicle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
Earth Moving Equipment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
Fork Lift,0,0,0,0,0,0,31,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32
Goods Carrier,0,2,0,0,1,0,0,0,0,0,1,2,0,0,8,0,0,1,0,0,0,0,9,0,3,0,27
M-Cycle/Scooter,7,0,6,118,23,8,34,0,2,2,0,171,16,2,823,0,38,10,7,3,82,0,44,9,124,0,1529
M-Cycle/Scooter-With Side Car,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4
Maxi Cab,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
Moped,0,0,0,0,0,0,3,0,0,0,0,53,0,0,21,0,2,35,20,0,0,0,7,0,8,0,149
Motor Cab,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,1,0,0,0,0,14
Motor Car,5,0,1,2,22,1,3,1,4,1,3,349,5,0,47,1,0,2,2,1,3,0,16,0,0,2,471
Three Wheeler (Goods),0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3
Three Wheeler (Passenger),0,0,1,0,0,0,0,0,0,1,0,8,1,0,0,0,0,2,0,0,1,0,0,0,0,0,14
Three Wheeler (Personal),0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Tractor (Commercial),0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,4
Trailer (Agricultural),0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,29,0,0,0,33
Trailer (Commercial),0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,48
Total,12,4,11,123,46,9,78,1,9,4,4,606,22,2,902,1,40,51,31,4,89,1,177,9,143,2,2381
