Vehicle Class,AP,AS,BR,CG,CH,DD,DL,GA,GJ,HP,HR,JH,JK,KA,KL,LD,MH,MP,NL,OR,PB,PY,RJ,SK,TN,UK,UP,WB,Total
Adapted Vehicle,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,3
Agricultural Tractor,0,0,0,2,0,0,0,0,2,0,5,0,0,1,0,0,0,0,0,0,2,0,0,0,3,0,0,0,15
Bus,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Camper Van / Trailer (Private Use),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4
Construction Equipment Vehicle,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Crane Mounted Vehicle,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Fork Lift,0,0,0,0,0,1,0,0,21,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,23
Goods Carrier,0,0,0,0,0,0,2,0,0,0,2,0,0,2,0,0,1,0,0,3,1,0,1,0,3,0,4,2,21
M-Cycle/Scooter,9,3,1,80,0,0,20,4,30,3,8,3,3,102,12,4,847,39,0,5,7,9,46,0,11,13,82,0,1341
M-Cycle/Scooter-With Side Car,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Maxi Cab,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2
Moped,0,0,0,0,0,0,0,0,13,0,0,0,0,3,0,0,38,1,0,28,2,1,0,0,1,0,5,0,92
Motor Cab,0,0,0,0,0,0,0,0,0,0,0,0,0,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81
Motor Car,0,1,3,2,2,1,52,0,1,0,2,0,1,432,12,0,109,2,1,4,3,1,2,1,24,1,1,17,675
Motorised Cycle (CC 25cc),0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Omni Bus (Private Use),0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Three Wheeler (Goods),0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,1,0,0,2,0,0,0,0,0,1,0,0,8
Three Wheeler (Passenger),0,0,64,0,0,0,0,0,2,0,2,191,0,39,0,0,1,0,0,2,2,0,1,0,0,0,1,1,306
Tractor (Commercial),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Trailer (Agricultural),0,0,0,0,0,0,0,0,4,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,28,0,0,0,54
Trailer (Commercial),0,18,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8,0,0,0,28
Trailer For Personal Use,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
e-Rickshaw with Cart (G),0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,4,0,0,0,2,0,10
e-Rickshaw(P),0,0,0,0,0,0,3488,0,0,0,35,0,0,0,0,0,0,40,0,3,0,0,620,0,0,0,921,9,5116
Total,9,23,69,86,2,2,3564,4,78,4,55,194,4,686,26,4,999,85,1,47,18,11,674,1,83,15,1016,30,7790
