Vehicle Class,AN,AP,AR,AS,BR,CG,CH,DD,DL,GA,GJ,HP,HR,JH,KA,KL,LD,MH,ML,MN,MP,MZ,OR,PB,PY,RJ,TN,UK,UP,WB,Total
Adapted Vehicle,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4
Agricultural Tractor,0,0,0,0,0,3,0,0,0,0,1,0,16,0,0,0,0,2,0,0,0,0,0,2,0,4,1,0,2,0,31
Ambulance,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
Articulated Vehicle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Bus,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,6
Camper Van / Trailer (Private Use),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2
Construction Equipment Vehicle,0,0,0,0,0,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83
Crane Mounted Vehicle,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
Earth Moving Equipment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Excavator (Commercial),0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Excavator (NT),0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Fork Lift,0,0,0,0,0,0,0,2,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38
Goods Carrier,0,0,0,2,1,24,0,0,12,0,2,0,2,1,1,0,0,2,0,0,0,1,0,0,0,1,2,0,4,2,57
Harvester,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
M-Cycle/Scooter,1,13,1,5,1,65,1,0,18,27,36,4,78,30,62,8,5,793,0,0,43,1,7,9,5,57,9,26,63,0,1368
Moped,0,0,0,0,0,3,0,0,0,0,13,0,2,0,11,0,0,16,0,0,1,0,16,2,0,0,1,7,3,0,75
Motor Cab,0,0,0,0,1,0,0,0,4,0,0,0,1,0,66,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,73
Motor Car,0,6,0,0,0,2,0,0,66,5,6,0,7,0,354,12,0,109,1,1,2,0,0,0,0,3,17,0,0,16,607
Road Roller,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Three Wheeler (Goods),0,0,0,0,1,1,0,0,0,0,17,0,0,1,3,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,27
Three Wheeler (Passenger),0,0,0,1,220,2,0,0,0,0,11,0,306,673,58,0,0,0,0,1,0,0,0,2,0,0,2,1,5,0,1282
Three Wheeler (Personal),0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,4
Tractor (Commercial),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
Trailer (Agricultural),0,0,0,0,0,0,0,0,0,0,2,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,75
Trailer (Commercial),0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,16
Vehicle Fitted With Rig,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,18
e-Rickshaw with Cart (G),0,0,0,0,5,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,35,0,0,0,0,60,0,8,46,0,158
e-Rickshaw(P),0,0,0,0,871,8,0,0,21577,0,1,0,959,0,0,0,0,1,0,0,764,0,1,22,1,3871,0,1116,15191,1490,45873
Total,1,20,1,19,1100,192,1,2,21680,33,141,4,1375,705,587,20,5,928,1,2,847,2,25,37,7,3999,82,1158,15315,1530,49819
