Vehicle Class,AS,BR,CG,CH,DD,DL,GA,GJ,HP,HR,JH,JK,KA,KL,MH,MN,MP,OR,PB,PY,RJ,TN,TR,UK,UP,WB,Total
Adapted Vehicle,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Agricultural Tractor,0,0,3,0,0,0,0,0,0,7,0,1,0,0,1,0,1,0,0,0,2,1,0,0,0,0,16
Bus,0,0,0,0,0,0,1,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,13
Construction Equipment Vehicle,0,0,181,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,184
Crane Mounted Vehicle,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Fork Lift,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39
Goods Carrier,2,0,505,0,0,11,0,1,0,2,0,0,2,1,7,0,0,0,1,1,0,2,0,1,0,0,536
M-Cycle/Scooter,5,14,52,1,1,53,22,11,0,226,24,0,58,4,345,4,81,80,34,3,72,30,0,27,293,0,1440
M-Cycle/Scooter-With Side Car,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Maxi Cab,0,0,0,0,0,0,0,0,12,0,0,0,7,0,0,0,0,0,0,0,0,2,0,0,0,0,21
Mobile Clinic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
Moped,0,1,2,0,0,14,0,9,0,2,0,0,2,0,4,0,11,8,6,0,0,1,0,2,12,0,74
Motor Cab,0,0,0,0,0,68,0,1,0,0,0,0,139,1,65,0,1,0,0,0,0,0,0,0,0,0,275
Motor Car,127,0,5,13,0,69,12,9,0,10,0,0,320,59,115,0,11,7,3,3,8,24,2,0,1,18,816
Motor Cycle/Scooter-Used For Hire,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3
Motorised Cycle (CC 25cc),0,0,0,0,0,2,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8
Omni Bus,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
Three Wheeler (Goods),0,5,7,0,0,0,0,61,0,3,5,0,6,1,20,0,0,0,1,0,2,0,0,0,3,0,114
Three Wheeler (Passenger),0,143,47,0,0,0,1,15,0,47,109,0,81,1,4,1,0,4,9,0,0,0,0,1,22,12,497
Three Wheeler (Personal),0,0,3,0,0,0,1,2,0,0,0,0,2,4,0,0,0,0,0,0,0,1,0,0,0,0,13
Tractor (Commercial),3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,10
Trailer (Agricultural),3,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,45,0,0,0,0,66
Trailer (Commercial),353,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,3,0,0,0,0,362
e-Rickshaw with Cart (G),4,20,3,1,0,444,1,10,0,29,11,0,54,3,24,0,140,6,0,0,212,0,0,15,192,7,1176
e-Rickshaw(P),3334,3408,135,8,0,17189,0,13,0,2157,1202,0,14,4,346,0,1164,97,83,1,3649,0,0,4177,40124,4415,81520
Total,3831,3594,945,23,1,17850,38,173,15,2487,1352,1,708,79,943,5,1409,212,137,9,3945,109,2,4223,40648,4452,87191
