Vehicle Class,AN,AP,AR,AS,BR,CG,CH,DD,DL,GA,GJ,HP,HR,JH,JK,KA,KL,MH,ML,MN,MP,OR,PB,PY,RJ,TN,TR,UK,UP,WB,Total
Adapted Vehicle,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,1,0,0,0,0,7
Agricultural Tractor,0,1,0,0,0,3,0,0,0,0,0,0,1,0,0,2,0,0,0,0,2,0,1,0,0,1,0,0,0,0,11
Bus,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,1,5,20
Construction Equipment Vehicle,0,0,0,0,0,195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,197
Fork Lift,0,0,0,0,0,0,0,0,0,2,19,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,22
Goods Carrier,0,0,0,0,1,539,0,0,0,2,0,0,86,0,0,2,1,9,0,1,1,0,1,0,1,0,0,0,12,0,656
Luxury Cab,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6
M-Cycle/Scooter,0,1077,1,69,583,384,29,1,233,4,168,1,1278,336,32,1087,162,2674,2,1,565,888,267,83,1315,1143,31,254,2490,14,15172
M-Cycle/Scooter-With Side Car,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,4,0,3,0,0,0,0,1,0,0,0,0,0,6,0,17
Maxi Cab,0,0,0,0,0,0,0,0,1,0,0,31,0,0,0,25,0,0,0,0,0,0,0,0,0,1,0,0,0,0,58
Moped,0,0,0,0,7,115,12,0,21,0,131,0,72,0,58,31,0,432,0,0,4,29,19,0,107,39,0,1,151,0,1229
Motor Cab,0,15,0,0,1,0,0,0,150,0,1,0,3,0,0,227,5,87,0,0,1,0,0,0,8,2,0,1,1,0,502
Motor Car,20,47,0,0,0,8,4,0,257,17,8,1,29,20,0,384,77,97,0,0,20,6,5,2,7,48,0,0,12,16,1085
Motor Cycle/Scooter-Used For Hire,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,264
Motorised Cycle (CC 25cc),0,0,0,0,0,2,0,0,0,0,0,0,75,0,0,12,0,24,0,0,0,0,2,0,80,81,0,0,115,1,392
Omni Bus,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27
Omni Bus (Private Use),0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Private Service Vehicle,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2
Private Service Vehicle (Individual Use),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
Road Roller,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
Three Wheeler (Goods),0,0,0,0,0,17,0,0,0,0,67,0,11,10,0,29,2,12,0,0,0,0,2,0,0,0,0,0,20,0,170
Three Wheeler (Passenger),0,4,0,1,19,74,0,17,0,0,42,0,37,63,0,122,6,12,0,19,4,16,14,1,0,1,0,28,109,40,629
Three Wheeler (Personal),0,0,0,0,0,22,0,0,0,0,20,0,0,0,0,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,47
Tractor-Trolley(Commercial),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5
Trailer (Agricultural),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,1,0,0,0,0,0,0,0,16,0,0,0,0,40
Trailer (Commercial),0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,88,0,0,0,5,0,0,0,1,98
X-Ray Van,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
e-Rickshaw with Cart (G),0,8,0,13,61,55,13,0,898,0,23,0,117,50,0,20,4,203,0,1,243,38,0,0,280,0,0,53,637,22,2739
e-Rickshaw(P),0,25,0,7314,7791,486,155,0,19340,0,21,0,2911,1477,0,20,25,1069,0,17,1903,290,52,1,2869,0,1,4730,49644,6626,106767
Total,20,1180,1,7398,8465,1903,213,19,20902,25,500,62,4626,1957,90,2259,288,4632,2,39,2743,1358,364,87,4676,1338,32,5067,53199,6728,130173
