Vehicle Class,AN,AP,AR,AS,BR,CG,CH,DD,DL,GA,GJ,HP,HR,JH,JK,KA,KL,LA,LD,MH,ML,MN,MP,MZ,NL,OR,PB,PY,RJ,TN,TR,UK,UP,WB,Total
Adapted Vehicle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,27,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,29
Agricultural Tractor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Bus,0,0,0,15,0,0,0,0,1,0,49,50,2,0,39,0,5,1,0,183,0,0,40,0,0,0,0,0,0,0,0,1,40,78,504
Construction Equipment Vehicle,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Earth Moving Equipment,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2
Fork Lift,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
Goods Carrier,0,0,0,0,1,0,0,0,1,0,0,0,16,0,0,15,1,0,0,6,0,0,1,0,0,0,1,0,2,3,0,0,7,0,54
Luxury Cab,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
M-Cycle/Scooter,0,1375,1,98,652,681,18,4,1048,27,181,1,943,211,25,4026,259,0,0,4896,10,35,1267,1,28,765,368,80,1646,2715,20,486,3440,242,25549
M-Cycle/Scooter-With Side Car,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
Maxi Cab,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,1,0,0,0,0,0,5,0,0,0,0,0,11
Moped,0,0,0,0,11,232,2,3,12,4,322,0,118,1,11,93,0,0,0,794,0,12,9,0,1,66,0,0,238,225,0,0,91,1,2246
Motor Cab,0,0,0,1,0,0,0,0,258,0,1,0,8,12,0,221,2,0,0,154,0,0,1,0,0,0,0,0,2,5,0,1,1,0,667
Motor Car,2,273,0,0,11,7,8,0,193,4,25,2,15,34,0,150,61,0,0,113,0,0,20,0,0,1,3,0,10,52,4,1,30,12,1031
Motor Cycle/Scooter-SideCar(T),0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Motor Cycle/Scooter-Used For Hire,0,1,0,0,0,0,0,0,0,0,0,0,5,0,0,1380,5,0,0,5,0,0,0,0,0,1,0,0,40,0,0,6,0,0,1443
Motorised Cycle (CC 25cc),0,0,0,0,49,0,0,0,0,0,1,0,96,23,0,65,0,0,0,30,0,0,0,0,0,3,133,0,83,449,0,0,181,19,1132
Omni Bus,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Omni Bus (Private Use),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Private Service Vehicle,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2
Private Service Vehicle (Individual Use),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Three Wheeler (Goods),0,2,0,0,0,0,0,1,0,0,153,0,183,1,0,41,0,0,0,7,0,0,0,0,0,12,2,0,1,0,0,0,20,2,425
Three Wheeler (Passenger),0,113,0,0,47,27,0,9,0,0,124,0,44,131,0,45,65,0,1,10,0,0,4,0,0,6,7,0,0,0,64,27,135,30,889
Three Wheeler (Personal),0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,2,23,0,0,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,34
Tractor-Trolley(Commercial),0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
Trailer (Commercial),0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
e-Rickshaw with Cart (G),0,221,0,56,275,133,37,0,1962,1,25,0,175,25,0,39,10,0,0,225,0,0,266,0,0,66,11,0,291,0,0,90,1044,18,4970
e-Rickshaw(P),0,167,0,10689,11331,1664,442,2,19745,6,53,0,3500,1488,0,36,44,0,0,890,1,204,2076,0,0,239,436,0,4317,0,1371,5205,50796,13131,127833
Total,2,2157,1,10859,12380,2744,507,19,23221,42,947,54,5107,1932,75,6138,503,1,1,7316,13,251,3686,1,29,1160,961,81,6636,3450,1459,5817,55785,13533,166868
