Vehicle Class,AN,AP,AR,AS,BR,CG,CH,DD,DL,GA,GJ,HP,HR,JH,JK,KA,KL,LD,MH,ML,MN,MP,MZ,NL,OR,PB,PY,RJ,TN,TR,UK,UP,WB,Total
Adapted Vehicle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Agricultural Tractor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
Bus,0,0,0,0,0,0,0,0,0,0,8,0,2,0,0,0,0,0,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84
Construction Equipment Vehicle,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Earth Moving Equipment,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Fork Lift,0,0,0,0,0,0,0,1,0,0,17,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21
Goods Carrier,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,5,0,11
Luxury Cab,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,14
M-Cycle/Scooter,0,925,1,40,380,469,11,3,1160,48,424,22,215,271,12,6272,348,1,5062,3,4,929,1,11,531,105,78,1764,4350,7,178,1098,97,24820
M-Cycle/Scooter-With Side Car,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,6
Maxi Cab,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Moped,0,0,0,0,2,140,0,7,5,7,106,0,19,0,62,156,0,0,1,0,3,0,0,0,74,1,2,100,476,0,0,7,0,1168
Motor Cab,0,0,0,0,2,3,0,0,442,2,17,0,48,20,0,173,8,0,183,0,0,0,0,0,9,2,0,0,1,0,2,3,0,915
Motor Car,34,60,3,7,20,4,35,2,443,22,212,3,48,17,0,525,417,6,746,0,0,28,0,0,11,8,1,116,281,0,12,132,87,3280
Motor Cycle/Scooter-SideCar(T),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Motor Cycle/Scooter-Used For Hire,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,2054,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,2096
Motorised Cycle (CC 25cc),1,0,0,0,1,0,1,0,0,0,0,0,0,22,0,198,2,0,1,0,0,0,0,0,3,22,6,101,587,0,0,89,0,1034
Omni Bus,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
Three Wheeler (Goods),0,5,0,0,1,11,0,0,41,0,170,0,19,12,0,83,0,0,7,0,0,0,0,0,11,3,0,2,0,0,0,12,0,377
Three Wheeler (Passenger),0,90,0,4,57,104,42,7,0,0,66,5,114,28,0,78,382,0,21,0,0,0,0,0,14,11,0,10,0,276,51,169,29,1558
Three Wheeler (Personal),0,4,0,0,0,7,0,0,0,0,0,0,0,0,0,5,35,0,2,0,0,0,0,0,0,0,2,0,2,0,0,0,0,57
Tractor-Trolley(Commercial),0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Trailer (Agricultural),0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
e-Rickshaw with Cart (G),0,209,0,21,129,86,73,0,2189,1,56,0,453,15,0,78,1,0,217,0,0,259,0,0,125,98,0,605,0,0,79,1309,78,6081
e-Rickshaw(P),0,350,0,8285,11853,664,207,0,8097,1,46,150,2021,1129,0,61,176,0,810,0,95,2145,0,0,123,581,0,2904,0,3136,2070,28432,9774,83110
Total,36,1643,4,8357,12446,1490,369,24,12377,82,1123,181,2980,1516,74,9688,1370,7,7130,3,102,3361,1,11,903,833,89,5605,5697,3419,2392,31256,10079,124648
