Vehicle Class,AN,AP,AR,AS,BR,CG,CH,DD,DL,GA,GJ,HP,HR,JH,JK,KA,KL,LA,LD,MH,ML,MN,MP,MZ,NL,OR,PB,PY,RJ,SK,TN,TR,UK,UP,WB,Total
Adapted Vehicle,0,2,0,0,0,1,6,0,6,0,14,0,0,0,0,24,9,0,0,13,0,0,0,0,0,0,0,0,4,0,11,0,0,0,0,90
Agricultural Tractor,0,0,0,0,0,0,0,0,0,5,0,0,1,0,0,0,0,0,0,6,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,15
Articulated Vehicle,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,16,0,0,0,2,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,58
Bus,0,10,0,70,0,0,0,0,1036,52,329,0,21,0,50,841,71,0,0,880,0,0,80,0,0,93,11,0,8,0,5,0,12,17,27,3613
Cash Van,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
Construction Equipment Vehicle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Construction Equipment Vehicle (Commercial),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
Educational Institution Bus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4
Fork Lift,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22
Goods Carrier,2,63,0,118,87,32,81,2,602,38,189,42,111,47,6,459,183,0,0,1314,217,0,182,0,1,165,62,11,328,0,909,54,2,681,168,6156
Luxury Cab,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,370,371
M-Cycle/Scooter,25,47954,15,4396,22001,32884,1778,201,31342,10074,60469,1237,18830,10044,940,145436,66841,0,4,203110,209,76,65847,558,7,53735,19652,4046,76255,1,106001,414,8249,94928,22654,1110213
M-Cycle/Scooter-With Side Car,0,6,0,0,14,0,0,0,4,1,23,0,9,0,0,19,7,0,0,9,0,0,0,0,0,11,6,1,30,0,9,0,0,15,7,171
Maxi Cab,4,11,0,0,0,3,0,0,0,38,2,2,22,0,1,205,17,0,0,0,0,0,1,0,0,1,11,0,25,0,3,0,1,1,1,349
Moped,0,18,0,0,99,288,2,60,2,0,4534,31,5,14,2056,4327,0,18,0,7067,0,0,70,0,0,980,24,1,208,0,1244,0,0,64,8,21120
Motor Cab,9,46,0,20,6,26,7,1,2061,43,48,7,1277,100,4,3005,113,0,0,1367,1,0,51,0,0,128,51,33,101,0,520,0,13,198,528,9764
Motor Car,20,4980,79,634,1219,2403,2265,215,9446,1418,10787,612,7386,773,427,16980,14369,2,0,22595,72,100,3425,16,35,3003,4086,335,7845,14,11267,48,970,15783,3355,146964
Motor Caravan,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Motor Cycle/Scooter-SideCar(T),0,1,0,0,0,0,0,0,0,0,1,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
Motor Cycle/Scooter-Used For Hire,20,0,0,0,0,0,0,0,0,0,0,0,15,0,0,4439,19,0,0,0,0,0,0,0,0,198,0,0,21,0,0,0,0,250,201,5163
Motor Cycle/Scooter-With Trailer,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30
Motorised Cycle (CC 25cc),1,781,0,0,31,0,0,0,197,2,54,18,301,279,1,1313,2,0,0,2,0,0,0,0,0,1377,176,0,299,0,7507,1,0,373,35,12750
Omni Bus,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,27,0,0,0,0,48,0,0,0,0,108
Omni Bus (Private Use),0,40,0,0,3,84,0,0,0,0,2,0,4,19,0,213,0,0,0,9,0,0,54,0,0,39,2,0,8,2,0,0,2,23,81,585
Private Service Vehicle,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,56,0,0,38,0,0,0,11,0,10,0,35,0,0,0,0,156
Private Service Vehicle (Individual Use),0,0,2,40,0,0,0,0,0,0,8,6,3,0,0,4,175,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,240
Three Wheeler (Goods),0,1341,2,308,1115,699,87,6,7445,4,2083,10,1047,419,75,2773,614,0,0,2928,236,0,573,0,0,1215,340,25,1305,0,3286,85,95,1740,944,30800
Three Wheeler (Passenger),0,2103,1,12185,10136,3360,178,4,1425,4,1070,103,1762,2177,6639,5133,4335,0,1,5059,90,188,4573,0,2,1091,1597,221,2022,0,1040,7562,2083,40132,3406,119682
Three Wheeler (Personal),0,3,0,0,0,1,0,0,0,5,4,0,0,0,0,8,31,0,0,24,1,0,18,0,0,2,22,10,1,0,161,0,0,1,0,292
Tractor (Commercial),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5
e-Rickshaw with Cart (G),0,87,0,2935,1620,2131,717,0,3933,6,679,10,3301,274,127,214,112,0,0,2329,1,0,2062,0,0,793,2683,14,6361,0,3438,1,684,24047,368,58927
e-Rickshaw(P),0,43,0,47716,76813,7534,1949,3,27796,32,47,28,13706,12133,3037,19,0,0,0,4074,5,81,24460,0,0,3115,18416,43,16390,0,3,1459,8111,200146,14411,481570
Total,82,57489,99,68422,113144,49476,7071,492,85296,11755,80344,2106,47801,26279,13366,185436,86898,20,5,250906,832,445,101438,574,45,65973,47151,4740,111227,17,135492,9624,20223,378403,46564,2009235
