Fuel,Ambulance/Hearses,Bus,Construction Equipment Vehicle,Four Wheeler,Goods Vehicle,Public Service Vehicle,Special Category Vehicles,Three Wheeler,Tractor,Trailer,Two Wheeler,Total
CNG ONLY,7,3995,11,774,26221,4003,13,2464,0,0,6,37494
DIESEL,9326,88128,60897,997614,761247,77854,17285,340887,641497,2680,382,2997797
DIESEL/HYBRID,18,44,6,39075,4,2,3,0,3,0,0,39155
DUAL DIESEL/CNG,0,1,3,0,3,1,0,0,0,0,0,8
ELECTRIC BOV,0,506,3,1729,53,507,11,133471,6,2,30405,166693
ETHANOL,0,0,1,0,0,0,0,0,0,7,0,8
LNG,0,6,0,0,1,6,0,0,0,0,0,13
LPG ONLY,0,3,0,44,0,0,0,3816,1,0,6,3870
METHANOL,0,0,0,0,0,0,0,0,0,2,0,2
NOT APPLICABLE,0,11,100,3426,440,8,148,653,3302,78715,1157,87960
PETROL,759,4250,8,1641417,1229,132,31,19227,264,43,18624451,20291811
PETROL/CNG,71,120,0,234495,3773,32,6,183055,0,0,126,421678
PETROL/ETHANOL,0,0,0,0,0,0,0,0,0,0,3,3
PETROL/HYBRID,1,49,0,77407,0,0,1,0,0,0,6,77464
PETROL/LPG,19,1725,0,20074,38,1,0,89256,3,0,33,111149
PURE EV,0,0,0,0,1,0,0,0,0,0,0,1
SOLAR,0,0,0,0,1,0,0,0,0,0,0,1
Total,10201,98838,61029,3016055,793011,82546,17498,772829,645076,81449,18656575,24235107
