Norms,Ambulance/Hearses,Bus,Construction Equipment Vehicle,Four Wheeler,Goods Vehicle,Public Service Vehicle,Special Category Vehicles,Three Wheeler,Tractor,Trailer,Two Wheeler,Total
BHARAT STAGE I,17,409,356,15463,6729,328,91,1464,4449,154,29995,59455
BHARAT STAGE II,115,2265,1134,20731,10847,1097,408,4708,12896,1910,708475,764586
BHARAT STAGE III,2513,54249,12018,457000,220550,29662,4790,229310,151597,22853,5583824,6768366
BHARAT STAGE III/IV,7,59,34,728,366,59,14,103,105,21,1025,2521
BHARAT STAGE IV,656,14986,1868,610795,67734,9900,568,5334,58166,6065,31409,807481
BHARAT STAGE IV/VI,1,3,0,23,0,2,0,1,1,0,3,34
BHARAT STAGE VI,2,13,0,231,72,12,0,20,5,0,427,782
Bharat Trem Stage III,18,77,27,771,415,67,25,208,1904,9,2188,5709
Bharat Trem Stage III A,48,227,118,2670,2314,224,64,1830,95819,18,33604,136936
Bharat Trem Stage III B,0,27,1,140,73,13,0,21,59,1,56,391
Bharat Stage III CEV,0,2,469,17,40,2,28,18,158,0,14,748
CEV STAGE IV,0,0,13,1,0,0,0,0,0,0,0,14
CEV STAGE V,0,0,1,0,0,0,0,0,0,0,0,1
EURO 1,38,470,283,8294,4403,424,83,2942,7774,155,207711,232577
EURO 2,744,4940,1411,51704,36208,4523,206,29917,47429,391,849898,1027371
EURO 3,674,6014,1676,145416,52355,4126,838,47163,26597,1936,792765,1079560
EURO 4,683,8190,202,279472,17808,2889,111,6166,4355,234,86227,406337
EURO 6,0,0,0,3,0,0,0,0,2,0,4,9
EURO 6A,0,0,0,0,1,0,0,0,0,0,0,1
EURO 6C,0,0,0,0,0,0,1,0,0,0,0,1
Not Applicable,0,1,2,2,4,1,1,0,8,1,0,20
Not Available,1646,26367,9025,934069,208883,22480,5941,114781,121992,48218,5063469,6556871
TREM STAGE IV,0,16,1,231,11,14,1,4,8,0,36,322
TREM STAGE V,0,0,0,3,1,0,0,0,3,0,2,9
Total,7162,118315,28639,2527764,628814,75823,13170,443990,533327,81966,13391132,17850102
