Vehicle Category Group,AN,AP,AR,AS,BR,CG,CH,DD,DL,GA,GJ,HP,HR,JH,JK,KA,KL,LA,LD,MH,ML,MN,MP,MZ,NL,OR,PB,PY,RJ,SK,TN,TR,UK,UP,WB,Total
Ambulance/Hearses,0,9,2,174,32,186,0,6,57,3,285,10,34,47,10,771,547,0,0,454,6,1,5,4,1,171,25,24,707,12,313,3,115,1696,1056,6766
Bus,50,5018,668,1536,1552,7045,331,91,915,227,3653,1500,2930,787,735,8961,5983,23,4,10338,122,87,14765,28,228,3254,3973,297,4679,61,5091,263,949,8144,17576,111864
Construction Equipment Vehicle,6,1306,383,1748,15,896,6,8,2,87,2853,318,500,180,3,2280,690,0,1,2152,32,133,1107,106,903,346,162,7,5045,22,1495,121,372,1740,1000,26025
Four Wheeler,1773,63632,4120,50795,45544,35288,17828,3552,164741,16972,227065,38311,147417,41569,44568,226203,207987,1284,6,341381,8770,6497,99807,2362,5888,43420,146647,6966,156280,4363,177538,4275,43244,228214,89145,2703452
Goods Vehicle,218,21388,830,12751,20293,15914,726,995,12020,1551,47741,7638,28657,12268,5967,47511,17178,312,0,74041,1657,1264,21613,789,9599,18246,22480,439,47933,434,45196,1392,5515,48719,28417,581692
Public Service Vehicle,29,3199,664,1536,1545,1328,284,93,915,223,2973,1420,2924,774,1065,5941,6127,20,0,8937,35,75,4773,23,110,1389,2083,307,4672,60,5556,202,934,8100,4268,72584
Special Category Vehicles,1,247,5,140,7,525,1,37,63,14,1360,42,775,71,1,1762,217,0,0,1031,3,11,499,1,84,95,2725,12,598,0,581,3,23,354,331,11619
Three Wheeler,255,55058,365,10010,32716,4428,1100,72,23596,129,56746,253,19120,14207,2664,38866,29189,0,28,43227,1012,1320,13386,246,1174,18343,4417,152,15493,0,17290,3398,1331,38666,7972,456229
Tractor,8,11858,80,3473,31684,18556,10,47,90,57,29711,1272,25637,9359,2169,31621,382,19,3,35704,23,90,50219,15,41,11905,26143,43,66785,1,9134,22,2888,81929,12091,463069
Trailer,0,14511,21,482,16399,7865,0,14,0,18,14132,1,64,5340,6,17748,6,0,0,9040,23,1,3678,1,1,9559,41,8,334,0,1186,3,155,840,766,102243
Two Wheeler,6151,677710,7365,212843,583858,378002,26710,10735,422415,55017,1108555,63188,458982,319675,61495,1190229,631800,411,304,1757462,8944,18967,785458,9890,5038,487626,609426,46795,1013727,698,1366861,25921,162729,2025867,677389,15218243
Total,8491,853936,14503,295488,733645,470033,46996,15650,624814,74298,1495074,113953,687040,404277,118683,1571893,900106,2069,346,2283767,20627,28446,995310,13465,23067,594354,818122,55050,1316253,5651,1630241,35603,218255,2444269,840011,19753786
