Vehicle Class,AN,AP,AR,AS,BR,CG,CH,DD,DL,GA,GJ,HP,HR,JH,JK,KA,KL,LA,LD,MH,ML,MN,MP,MZ,NL,OR,PB,PY,RJ,SK,TN,TR,UK,UP,WB,Total
Adapted Vehicle,0,10,28,0,63,31,8,0,38,30,911,10,5,0,3,704,508,0,0,608,0,2,84,0,0,22,40,80,601,0,417,1,25,311,20,4560
Agricultural Tractor,3,10413,34,116,4662,18346,9,35,6,65,24109,150,31572,345,2828,27484,518,37,0,34444,0,118,80942,4,81,422,34166,71,79934,0,15967,0,3159,93090,855,463985
Ambulance,6,275,7,536,23,504,41,9,141,7,523,122,264,10,76,602,433,6,1,828,31,25,507,11,21,483,115,20,780,11,527,19,186,1318,1001,9469
Animal Ambulance,0,2,0,0,0,0,0,1,0,0,2,0,3,0,1,3,1,0,0,0,0,0,0,0,0,3,3,0,9,0,1,0,0,1,0,30
Armoured/Specialised Vehicle,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Articulated Vehicle,0,304,0,11,13,23,0,0,0,0,2,0,1,3,1,280,92,0,0,1259,1,0,125,0,7,6,3,0,1602,0,2091,0,0,60,125,6009
Auxiliary Trailer,0,0,0,3,0,0,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,11
Breakdown Van,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,11,0,0,22,0,0,0,0,0,0,2,0,0,0,0,0,0,0,4,42
Bulldozer,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,21
Bus,49,932,208,878,2080,582,98,48,1171,461,2564,413,2196,883,627,6322,3743,31,1,9041,153,90,3532,23,329,706,3775,136,5165,24,1951,52,984,5809,2172,57229
Camper Van / Trailer,0,0,1,20,0,0,0,0,0,0,4,1,0,3,1,4,9,0,0,44,0,0,3,0,0,2,3,0,6,0,3,0,4,61,10,179
Camper Van / Trailer (Private Use),0,2,0,1,119,1,0,4,0,0,9,0,13,0,0,8,6,2,0,14,4,0,1,1,0,1,2,1,4,0,303,0,1,0,0,497
Cash Van,0,31,0,12,0,2,0,0,0,0,26,0,1,1,0,14,14,0,0,26,0,0,4,0,0,57,4,0,11,0,1,0,12,105,92,413
Construction Equipment Vehicle,0,1105,0,27,21,29,9,0,0,39,1617,14,29,0,2,249,53,0,0,202,10,4,277,30,791,245,27,0,108,3,101,0,4,11,10,5017
Construction Equipment Vehicle (Commercial),0,1,42,8,1,0,1,0,0,0,4,0,0,85,0,4,0,0,0,1,2,0,0,0,26,0,0,0,2,0,0,0,0,6,4,187
Crane Mounted Vehicle,5,24,2,72,0,277,0,6,18,17,818,16,634,3,0,259,137,0,1,431,2,0,215,1,80,34,102,6,190,4,64,11,14,142,250,3835
Dumper,0,3,194,1131,0,0,34,0,0,0,8,17,1,0,0,8,2,0,0,114,0,0,5,5,6,4,1,0,1768,0,5,0,19,43,63,3431
Earth Moving Equipment,7,0,1,1,0,151,0,1,0,14,141,168,600,0,0,1075,551,0,0,171,6,59,11,1,0,14,107,1,2471,6,1947,24,13,1383,273,9197
Educational Institution Bus,0,2115,0,0,0,341,97,0,0,26,43,275,446,0,163,819,1844,0,0,16,2,0,2124,1,1,204,22,67,678,0,4236,0,22,1140,5,14687
Excavator (Commercial),0,6,81,150,1,1,0,32,0,4,563,0,36,132,1,975,1,0,0,1,8,0,1,1,0,94,56,0,0,9,1,112,93,103,751,3213
Excavator (NT),0,4,41,184,0,839,0,4,0,0,444,61,533,2,0,178,181,0,0,2422,10,10,1900,104,0,6,5,8,691,0,5,12,29,11,33,7717
Fire Fighting Vehicle,4,0,0,25,1,6,0,0,0,0,30,4,19,0,0,9,2,0,0,49,0,0,30,0,10,1,1,0,13,0,18,1,5,40,11,279
Fire Tenders,0,61,0,1,0,1,0,0,0,0,0,0,2,0,0,0,6,0,0,15,0,0,23,0,0,2,0,1,1,0,2,0,0,0,0,115
Fork Lift,0,17,5,2,2,0,0,36,0,0,262,1,21,0,0,19,9,0,0,119,0,1,0,0,14,3,2,0,15,0,1,0,3,7,4,543
Goods Carrier,180,22098,741,12518,18657,14488,1111,1056,9727,1823,50441,8449,25174,12179,6649,49308,28284,375,52,78959,3650,1210,31199,1298,9056,14790,26083,763,41687,483,53924,1596,5383,53618,36016,623025
Harvester,0,28,0,0,38,333,0,0,0,0,11,0,410,0,0,9,0,0,0,94,0,0,46,0,0,10,2474,0,130,0,63,0,0,26,27,3699
Hearses,0,1,0,0,0,0,0,0,0,0,3,1,3,0,0,6,6,0,0,11,0,0,1,0,0,2,1,2,1,0,0,1,0,20,25,84
Library Van,0,2,0,1,0,0,0,0,0,0,1,0,0,0,0,1,2,0,0,8,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,17
Luxury Cab,0,203,0,0,0,0,0,0,110,0,0,0,8,0,0,1,0,0,0,7,0,0,1,3,0,7,1,0,10,69,0,0,0,0,2102,2522
M-Cycle/Scooter,4761,543395,7716,161800,444113,349384,24348,10843,328832,49641,972857,52089,411032,239052,55086,974353,639837,166,717,1530285,7847,18444,736159,10256,4648,348146,541610,38295,903117,574,1149279,21303,128954,1610950,542622,12862511
M-Cycle/Scooter-With Side Car,0,1,0,7,5,4,0,0,23,0,33,19,20,5,0,22386,3,0,0,52,1,0,0,0,1,176,10,0,1101,0,201,1,3,30,332,24414
Maxi Cab,23,3762,72,441,789,421,69,14,929,286,3433,602,73,2551,3724,5522,175,138,1,143,855,447,2757,386,181,5208,4168,21,1824,329,9327,17,2515,2362,2516,56081
Mobile Canteen,0,7,1,0,0,0,0,0,0,2,2,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,18
Mobile Clinic,0,1,1,2,0,1,0,0,0,0,7,0,2,2,1,6,7,0,0,4,0,0,0,0,0,0,0,1,0,0,19,0,3,3,2,62
Mobile Workshop,0,0,0,0,0,0,0,0,1,0,4,1,0,0,0,9,2,0,0,5,0,0,0,0,0,3,0,0,0,0,4,0,0,5,0,34
Modular Hydraulic Trailer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Moped,1154,0,388,1876,2561,20262,43,37,5856,353,32377,604,2619,4377,785,43774,6,0,4,11795,14,380,17799,62,50,35300,2997,6594,15196,0,242720,13,1319,53802,779,505896
Motor Cab,227,2965,272,4080,14754,1186,103,6,3589,1045,1788,953,4435,3597,446,13730,14264,209,8,13206,2160,287,3584,707,277,1211,1773,68,10424,855,6132,309,1217,14477,3101,127445
Motor Car,1389,49437,4090,43215,37673,29216,19641,3396,122206,15336,183433,31555,146479,34011,37448,172960,192959,878,31,305890,9351,6649,79669,2510,6309,29515,146984,6719,124876,3024,164253,4098,35088,185709,63477,2299474
Motor Caravan,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Motor Cycle/Scooter-SideCar(T),0,2,0,0,0,0,0,0,0,127,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,7,0,0,0,0,0,0,140
Motor Cycle/Scooter-Used For Hire,73,5,0,0,3,0,0,10,0,276,26,0,0,0,0,15,8,2,0,0,0,0,2,0,0,35,3,0,371,0,0,0,8,0,11,848
Motorised Cycle (CC 25cc),0,1,0,1,0,2,0,0,0,0,14,0,1,0,0,40,0,0,0,28,0,0,0,0,0,1,1,1,36,92,30,0,1,17,2,268
Omni Bus,7,32,3,4,1,4,0,22,1,0,332,28,32,3,119,547,0,0,1,100,1,1,1,0,0,1706,144,54,2046,1,307,6,35,483,2266,8287
Omni Bus (Private Use),0,1975,0,0,8,3417,0,0,0,2,1,207,2,15,2,3906,17,0,0,43,0,3,12289,0,0,1955,0,7,11,0,166,0,16,42,14069,38153
Power Tiller,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,10,15,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,31
Power Tiller (Commercial),0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,681,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,686
Private Service Vehicle,51,97,9,0,0,28,0,2,0,0,1,29,1,0,265,544,154,1,0,9,0,0,78,0,0,60,5,10,6,0,835,0,0,5,1,2191
Private Service Vehicle (Individual Use),0,1,0,0,0,7,2,0,0,0,2,252,1,0,18,47,5601,0,0,53,1,0,12,0,0,52,1,0,3,0,9,0,0,4,1,6067
Recovery Vehicle,0,45,0,2,0,0,0,0,8,0,41,54,15,0,0,0,26,0,0,1,0,0,1,1,0,1,1,0,2,0,102,0,0,5,4,309
Road Roller,0,5,0,1,0,9,0,0,0,0,2,0,4,0,0,6,46,0,0,8,0,6,39,0,0,1,1,0,14,0,10,2,0,1,2,157
School Bus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3
Three Wheeler (Goods),0,5231,8,2046,1109,688,280,53,2685,5,17436,176,1035,2304,1581,8258,8161,0,22,4044,67,35,3402,4,5,2414,468,12,2966,0,245,101,106,4901,2034,71882
Three Wheeler (Passenger),160,40066,207,5021,34897,4191,11,24,11101,122,36200,220,12642,12505,979,33957,39496,1,39,27445,1004,1370,11711,741,1129,13937,4860,92,13793,0,17892,1874,862,32433,3694,364676
Three Wheeler (Personal),7,1,114,17,1,0,0,8,2,5,32,0,2,0,3,427,3884,0,4,3608,4,3,5,1,0,1,12,5,4,0,327,0,0,27,0,8504
Tow Truck,0,0,0,0,0,3,0,0,0,0,4,0,0,0,1,9,5,0,0,169,0,0,0,0,0,0,1,0,0,0,1,0,0,2,0,195
Tower Wagon,0,0,0,0,0,2,0,0,0,0,3,0,0,0,1,1,0,0,0,11,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,21
Tractor (Commercial),1,6006,18,2196,32972,759,5,0,247,1,1157,1060,168,7378,36,884,0,2,5,138,43,0,5,6,2,9243,12,6,56,0,504,4,428,449,12103,75894
